iso_code,country,date,yougov_avoiding_crowded_places
HKG,Hong Kong SAR China,2020-04-28,81
HKG,Hong Kong SAR China,2020-05-05,83
HKG,Hong Kong SAR China,2020-05-25,75
HKG,Hong Kong SAR China,2020-06-08,77
HKG,Hong Kong SAR China,2020-06-22,72
HKG,Hong Kong SAR China,2020-07-06,69
HKG,Hong Kong SAR China,2020-07-21,76
HKG,Hong Kong SAR China,2020-08-04,80
HKG,Hong Kong SAR China,2020-08-18,78
HKG,Hong Kong SAR China,2020-08-31,75
HKG,Hong Kong SAR China,2020-09-15,73
HKG,Hong Kong SAR China,2020-09-28,76
HKG,Hong Kong SAR China,2020-10-12,75
HKG,Hong Kong SAR China,2020-10-27,73
IDN,Indonesia,2020-02-24,26
IDN,Indonesia,2020-03-02,31
IDN,Indonesia,2020-03-09,39
IDN,Indonesia,2020-03-16,51
IDN,Indonesia,2020-03-23,73
IDN,Indonesia,2020-03-30,84
IDN,Indonesia,2020-04-06,77
IDN,Indonesia,2020-04-13,78
IDN,Indonesia,2020-04-20,78
IDN,Indonesia,2020-04-27,75
IDN,Indonesia,2020-05-04,80
IDN,Indonesia,2020-05-22,77
IDN,Indonesia,2020-06-08,75
IDN,Indonesia,2020-06-22,77
IDN,Indonesia,2020-07-06,75
IDN,Indonesia,2020-07-20,74
IDN,Indonesia,2020-08-03,73
IDN,Indonesia,2020-08-17,70
IDN,Indonesia,2020-08-31,70
IDN,Indonesia,2020-09-14,75
IDN,Indonesia,2020-09-28,72
IDN,Indonesia,2020-10-12,72
IDN,Indonesia,2020-10-26,75
IND,India,2020-03-16,59
IND,India,2020-03-20,67
IND,India,2020-03-27,78
IND,India,2020-04-03,81
ITA,Italy,2020-03-11,87
ITA,Italy,2020-03-19,90
ITA,Italy,2020-03-25,88
ITA,Italy,2020-04-03,85
ITA,Italy,2020-04-09,86
ITA,Italy,2020-04-16,87
ITA,Italy,2020-04-23,85
ITA,Italy,2020-04-30,83
ITA,Italy,2020-05-26,81
ITA,Italy,2020-06-02,81
ITA,Italy,2020-06-10,77
ITA,Italy,2020-06-17,78
ITA,Italy,2020-06-23,76
ITA,Italy,2020-07-07,74
ITA,Italy,2020-07-14,74
ITA,Italy,2020-07-21,72
ITA,Italy,2020-07-28,74
ITA,Italy,2020-08-18,74
ITA,Italy,2020-08-25,72
ITA,Italy,2020-08-31,74
ITA,Italy,2020-09-09,77
ITA,Italy,2020-09-16,75
ITA,Italy,2020-09-29,76
ITA,Italy,2020-10-06,79
ITA,Italy,2020-10-13,79
ITA,Italy,2020-10-20,78
ITA,Italy,2020-10-27,81
JPN,Japan,2020-03-17,64
JPN,Japan,2020-03-24,63
JPN,Japan,2020-03-30,64
JPN,Japan,2020-04-06,74
JPN,Japan,2020-04-13,75
JPN,Japan,2020-04-20,78
JPN,Japan,2020-04-27,79
JPN,Japan,2020-05-04,79
MEX,Mexico,2020-03-17,56
MEX,Mexico,2020-03-23,72
MEX,Mexico,2020-03-30,73
MEX,Mexico,2020-04-06,77
MEX,Mexico,2020-04-13,81
MEX,Mexico,2020-04-20,78
MEX,Mexico,2020-04-27,78
MYS,Malaysia,2020-02-24,40
MYS,Malaysia,2020-03-02,74
MYS,Malaysia,2020-03-09,76
MYS,Malaysia,2020-03-16,80
MYS,Malaysia,2020-03-23,85
MYS,Malaysia,2020-03-30,88
MYS,Malaysia,2020-04-06,90
MYS,Malaysia,2020-04-13,85
MYS,Malaysia,2020-04-20,86
MYS,Malaysia,2020-04-27,89
MYS,Malaysia,2020-05-04,86
MYS,Malaysia,2020-05-25,84
MYS,Malaysia,2020-06-08,82
MYS,Malaysia,2020-06-22,85
MYS,Malaysia,2020-07-06,82
MYS,Malaysia,2020-07-20,79
MYS,Malaysia,2020-08-03,78
MYS,Malaysia,2020-08-17,82
MYS,Malaysia,2020-08-31,81
MYS,Malaysia,2020-09-14,79
MYS,Malaysia,2020-09-28,82
MYS,Malaysia,2020-10-12,87
MYS,Malaysia,2020-10-26,87
NOR,Norway,2020-03-16,57
NOR,Norway,2020-03-23,60
NOR,Norway,2020-03-29,83
NOR,Norway,2020-04-05,80
NOR,Norway,2020-04-12,78
NOR,Norway,2020-04-19,80
NOR,Norway,2020-04-26,76
NOR,Norway,2020-05-03,76
NOR,Norway,2020-05-25,66
NOR,Norway,2020-09-14,63
NOR,Norway,2020-09-27,61
NOR,Norway,2020-10-11,62
NOR,Norway,2020-10-15,71
PHL,Philippines,2020-02-24,49
PHL,Philippines,2020-03-02,66
PHL,Philippines,2020-03-09,67
PHL,Philippines,2020-03-16,77
PHL,Philippines,2020-03-23,84
PHL,Philippines,2020-03-30,85
PHL,Philippines,2020-04-06,85
PHL,Philippines,2020-04-13,85
PHL,Philippines,2020-04-20,81
PHL,Philippines,2020-04-27,84
PHL,Philippines,2020-05-04,82
PHL,Philippines,2020-05-25,82
PHL,Philippines,2020-06-08,82
PHL,Philippines,2020-06-22,80
PHL,Philippines,2020-07-06,81
PHL,Philippines,2020-07-20,79
PHL,Philippines,2020-08-03,80
PHL,Philippines,2020-08-17,84
PHL,Philippines,2020-08-31,83
PHL,Philippines,2020-09-14,85
PHL,Philippines,2020-09-28,82
PHL,Philippines,2020-10-12,83
PHL,Philippines,2020-10-26,79
SAU,Saudi Arabia,2020-03-18,75
SAU,Saudi Arabia,2020-03-25,77
SAU,Saudi Arabia,2020-04-01,76
SAU,Saudi Arabia,2020-04-07,77
SAU,Saudi Arabia,2020-04-14,77
SAU,Saudi Arabia,2020-04-22,78
SAU,Saudi Arabia,2020-04-29,76
SAU,Saudi Arabia,2020-05-04,76
SAU,Saudi Arabia,2020-06-03,76
SAU,Saudi Arabia,2020-06-10,75
SAU,Saudi Arabia,2020-06-17,74
SAU,Saudi Arabia,2020-07-13,76
SAU,Saudi Arabia,2020-07-29,72
SAU,Saudi Arabia,2020-08-10,72
SAU,Saudi Arabia,2020-08-19,68
SAU,Saudi Arabia,2020-08-31,69
SAU,Saudi Arabia,2020-09-30,62
SAU,Saudi Arabia,2020-10-07,69
SAU,Saudi Arabia,2020-10-14,67
SAU,Saudi Arabia,2020-11-02,66
SGP,Singapore,2020-02-21,44
SGP,Singapore,2020-02-28,68
SGP,Singapore,2020-03-06,70
SGP,Singapore,2020-03-13,67
SGP,Singapore,2020-03-20,74
SGP,Singapore,2020-03-27,75
SGP,Singapore,2020-04-03,83
SGP,Singapore,2020-04-10,85
SGP,Singapore,2020-04-17,83
SGP,Singapore,2020-04-24,86
SGP,Singapore,2020-05-01,84
SGP,Singapore,2020-05-22,85
SGP,Singapore,2020-06-05,80
SGP,Singapore,2020-06-19,84
SGP,Singapore,2020-07-07,80
SGP,Singapore,2020-07-20,81
SGP,Singapore,2020-08-03,75
SGP,Singapore,2020-08-14,76
SGP,Singapore,2020-08-28,76
SGP,Singapore,2020-09-11,72
SGP,Singapore,2020-09-25,70
SGP,Singapore,2020-10-09,70
SGP,Singapore,2020-10-23,70
SWE,Sweden,2020-03-16,42
SWE,Sweden,2020-03-23,44
SWE,Sweden,2020-03-29,64
SWE,Sweden,2020-04-05,72
SWE,Sweden,2020-04-12,75
SWE,Sweden,2020-04-19,68
SWE,Sweden,2020-04-26,78
SWE,Sweden,2020-05-03,69
SWE,Sweden,2020-05-25,71
SWE,Sweden,2020-06-09,67
SWE,Sweden,2020-06-16,70
SWE,Sweden,2020-09-11,63
SWE,Sweden,2020-09-23,56
SWE,Sweden,2020-10-09,58
THA,Thailand,2020-02-24,45
THA,Thailand,2020-03-02,73
THA,Thailand,2020-03-09,75
THA,Thailand,2020-03-16,73
THA,Thailand,2020-03-23,80
THA,Thailand,2020-03-30,86
THA,Thailand,2020-04-06,83
THA,Thailand,2020-04-13,86
THA,Thailand,2020-04-20,86
THA,Thailand,2020-04-27,83
THA,Thailand,2020-05-04,83
THA,Thailand,2020-05-25,81
THA,Thailand,2020-06-08,79
THA,Thailand,2020-06-22,77
THA,Thailand,2020-07-06,76
THA,Thailand,2020-07-20,80
THA,Thailand,2020-08-03,74
THA,Thailand,2020-08-17,71
THA,Thailand,2020-08-31,66
THA,Thailand,2020-09-14,63
THA,Thailand,2020-09-28,67
THA,Thailand,2020-10-12,69
THA,Thailand,2020-10-26,70
TWN,Taiwan,2020-02-25,49
TWN,Taiwan,2020-03-03,78
TWN,Taiwan,2020-03-10,78
TWN,Taiwan,2020-03-17,74
TWN,Taiwan,2020-03-24,80
TWN,Taiwan,2020-03-31,80
TWN,Taiwan,2020-04-07,83
TWN,Taiwan,2020-04-14,81
TWN,Taiwan,2020-04-21,80
TWN,Taiwan,2020-04-28,81
TWN,Taiwan,2020-05-05,78
TWN,Taiwan,2020-05-25,77
TWN,Taiwan,2020-06-08,70
TWN,Taiwan,2020-06-22,69
TWN,Taiwan,2020-07-06,71
TWN,Taiwan,2020-07-20,66
TWN,Taiwan,2020-08-03,65
TWN,Taiwan,2020-08-17,68
TWN,Taiwan,2020-08-31,68
TWN,Taiwan,2020-09-14,68
TWN,Taiwan,2020-09-28,68
TWN,Taiwan,2020-10-12,63
TWN,Taiwan,2020-10-27,68
USA,United States,2020-03-02,24
USA,United States,2020-03-17,49
USA,United States,2020-03-23,65
USA,United States,2020-03-30,77
USA,United States,2020-04-06,72
USA,United States,2020-04-13,75
USA,United States,2020-04-20,73
USA,United States,2020-04-27,72
USA,United States,2020-05-26,65
USA,United States,2020-06-01,65
USA,United States,2020-06-08,60
USA,United States,2020-06-15,64
USA,United States,2020-06-22,63
USA,United States,2020-07-06,66
USA,United States,2020-07-14,69
USA,United States,2020-07-20,65
USA,United States,2020-07-27,65
USA,United States,2020-08-03,64
USA,United States,2020-08-10,70
USA,United States,2020-08-17,64
USA,United States,2020-08-25,62
USA,United States,2020-09-01,62
USA,United States,2020-09-08,64
USA,United States,2020-09-14,65
USA,United States,2020-09-21,63
USA,United States,2020-09-28,64
USA,United States,2020-10-06,65
USA,United States,2020-10-12,65
USA,United States,2020-10-19,62
USA,United States,2020-10-26,64
USA,United States,2020-11-02,67
VNM,Vietnam,2020-03-23,56
VNM,Vietnam,2020-03-30,80
VNM,Vietnam,2020-04-06,81
VNM,Vietnam,2020-04-13,78
VNM,Vietnam,2020-04-20,77
VNM,Vietnam,2020-04-27,83
VNM,Vietnam,2020-05-04,80
VNM,Vietnam,2020-05-25,71
VNM,Vietnam,2020-06-08,69
VNM,Vietnam,2020-06-22,65
VNM,Vietnam,2020-07-06,62
VNM,Vietnam,2020-07-20,68
VNM,Vietnam,2020-08-03,66
VNM,Vietnam,2020-08-17,75
VNM,Vietnam,2020-08-31,68
VNM,Vietnam,2020-09-14,65
VNM,Vietnam,2020-09-28,65
VNM,Vietnam,2020-10-12,66
VNM,Vietnam,2020-10-26,68
