iso_code,country,date,owid_weekly_excess_mortality_p_score
BEL,Belgium,2020-08-30,-1.57
BEL,Belgium,2020-09-06,2.98
BEL,Belgium,2020-09-13,-2.27
BEL,Belgium,2020-09-20,6.76
BEL,Belgium,2020-09-27,1.02
BEL,Belgium,2020-10-04,-2.08
BEL,Belgium,2020-10-11,2.38
BEL,Belgium,2020-10-18,7.53
BEL,Belgium,2020-10-25,31.69
BEL,Belgium,2020-11-01,65.88
BEL,Belgium,2020-11-08,84.24
BEL,Belgium,2020-11-15,68.25
BEL,Belgium,2020-11-22,51.04
BEL,Belgium,2020-11-29,37.39
BEL,Belgium,2020-12-06,24.55
BEL,Belgium,2020-12-13,25.08
BEL,Belgium,2020-12-20,21.03
BEL,Belgium,2020-12-27,16.45
BEL,Belgium,2021-01-03,8.6
BEL,Belgium,2021-01-10,2.41
BEL,Belgium,2021-01-17,-2.62
BGR,Bulgaria,2020-01-05,-18.36
BGR,Bulgaria,2020-01-12,-11.59
BGR,Bulgaria,2020-01-19,-13.55
BGR,Bulgaria,2020-01-26,-4.59
BGR,Bulgaria,2020-02-02,-1.09
BGR,Bulgaria,2020-02-09,1.48
BGR,Bulgaria,2020-02-16,0.41
BGR,Bulgaria,2020-02-23,-5.58
BGR,Bulgaria,2020-03-01,-4.4
BGR,Bulgaria,2020-03-08,-9.77
BGR,Bulgaria,2020-03-15,-5.9
BGR,Bulgaria,2020-03-22,-5.78
BGR,Bulgaria,2020-03-29,-2.88
BGR,Bulgaria,2020-04-05,-4.52
BGR,Bulgaria,2020-04-12,-2.44
BGR,Bulgaria,2020-04-19,-2.04
BGR,Bulgaria,2020-04-26,-3.6
BGR,Bulgaria,2020-05-03,-6.06
BGR,Bulgaria,2020-05-10,-5.88
BGR,Bulgaria,2020-05-17,5.81
BGR,Bulgaria,2020-05-24,-3.91
BGR,Bulgaria,2020-05-31,-7.97
BGR,Bulgaria,2020-06-07,-0.13
BGR,Bulgaria,2020-06-14,0.43
BGR,Bulgaria,2020-06-21,-1.89
BGR,Bulgaria,2020-06-28,-2.95
BGR,Bulgaria,2020-07-05,12.54
BGR,Bulgaria,2020-07-12,5.21
BGR,Bulgaria,2020-07-19,-1.55
BGR,Bulgaria,2020-07-26,0.42
BGR,Bulgaria,2020-08-02,9.96
BGR,Bulgaria,2020-08-09,6.38
BGR,Bulgaria,2020-08-16,6.01
BGR,Bulgaria,2020-08-23,4.15
BGR,Bulgaria,2020-08-30,6.21
BGR,Bulgaria,2020-09-06,7.11
BGR,Bulgaria,2020-09-13,5.1
BGR,Bulgaria,2020-09-20,1.69
BGR,Bulgaria,2020-09-27,2.08
BGR,Bulgaria,2020-10-04,1.95
BGR,Bulgaria,2020-10-11,4.6
BGR,Bulgaria,2020-10-18,4.72
BGR,Bulgaria,2020-10-25,14.95
BGR,Bulgaria,2020-11-01,30.57
BGR,Bulgaria,2020-11-08,53.45
BGR,Bulgaria,2020-11-15,85.05
BGR,Bulgaria,2020-11-22,110.46
BGR,Bulgaria,2020-11-29,124.41
BGR,Bulgaria,2020-12-06,118.34
BGR,Bulgaria,2020-12-13,97.74
BGR,Bulgaria,2020-12-20,76.04
BGR,Bulgaria,2020-12-27,36.3
BGR,Bulgaria,2021-01-03,23.1
BGR,Bulgaria,2021-01-10,-1.65
BGR,Bulgaria,2021-01-17,-6.31
BGR,Bulgaria,2021-01-24,-3.66
CAN,Canada,2020-01-05,1.53
CAN,Canada,2020-01-12,1.46
CAN,Canada,2020-01-19,1.03
CAN,Canada,2020-01-26,3.44
CAN,Canada,2020-02-02,0.42
CAN,Canada,2020-02-09,1.81
CAN,Canada,2020-02-16,-1.13
CAN,Canada,2020-02-23,-1.21
CAN,Canada,2020-03-01,1.63
CAN,Canada,2020-03-08,2.14
CAN,Canada,2020-03-15,1.9
CAN,Canada,2020-03-22,5.85
CAN,Canada,2020-03-29,7.34
CAN,Canada,2020-04-05,16.18
CAN,Canada,2020-04-12,21.62
CAN,Canada,2020-04-19,23.58
CAN,Canada,2020-04-26,29.83
CAN,Canada,2020-05-03,28.43
CAN,Canada,2020-05-10,22.75
CAN,Canada,2020-05-17,19.16
CAN,Canada,2020-05-24,15.87
CAN,Canada,2020-05-31,17.48
CAN,Canada,2020-06-07,11.28
CAN,Canada,2020-06-14,4.9
CAN,Canada,2020-06-21,7.88
CAN,Canada,2020-06-28,7.79
CAN,Canada,2020-07-05,4.69
CAN,Canada,2020-07-12,9.14
CAN,Canada,2020-07-19,8.6
CAN,Canada,2020-07-26,7.3
CAN,Canada,2020-08-02,8.77
CAN,Canada,2020-08-09,6.83
CAN,Canada,2020-08-16,11.43
CAN,Canada,2020-08-23,11.12
CAN,Canada,2020-08-30,6.17
CAN,Canada,2020-09-06,10.23
CAN,Canada,2020-09-13,8.06
CAN,Canada,2020-09-20,10.3
CAN,Canada,2020-09-27,12.72
CAN,Canada,2020-10-04,8.78
CAN,Canada,2020-10-11,10.83
CAN,Canada,2020-10-18,2.48
CHE,Switzerland,2020-01-05,-10.8
CHE,Switzerland,2020-01-12,-8.08
CHE,Switzerland,2020-01-19,-5.44
CHE,Switzerland,2020-01-26,-3.06
CHE,Switzerland,2020-02-02,-3.2
CHE,Switzerland,2020-02-09,-7.59
CHE,Switzerland,2020-02-16,-8.34
CHE,Switzerland,2020-02-23,-9.35
CHE,Switzerland,2020-03-01,-11.59
CHE,Switzerland,2020-03-08,-6.44
CHE,Switzerland,2020-03-15,0.04
CHE,Switzerland,2020-03-22,13.97
CHE,Switzerland,2020-03-29,26.19
CHE,Switzerland,2020-04-05,44.18
CHE,Switzerland,2020-04-12,32.93
CHE,Switzerland,2020-04-19,27.75
CHE,Switzerland,2020-04-26,14.22
CHE,Switzerland,2020-05-03,1.56
CHE,Switzerland,2020-05-10,-1.59
CHE,Switzerland,2020-05-17,-2.04
CHE,Switzerland,2020-05-24,-1.51
CHE,Switzerland,2020-05-31,-5.0
CHE,Switzerland,2020-06-07,0.31
CHE,Switzerland,2020-06-14,0.84
CHE,Switzerland,2020-06-21,-2.39
CHE,Switzerland,2020-06-28,-1.49
CHE,Switzerland,2020-07-05,-1.34
CHE,Switzerland,2020-07-12,-1.47
CHE,Switzerland,2020-07-19,-9.25
CHE,Switzerland,2020-07-26,-3.41
CHE,Switzerland,2020-08-02,8.01
CHE,Switzerland,2020-08-09,-0.24
CHE,Switzerland,2020-08-16,5.02
CHE,Switzerland,2020-08-23,2.26
CHE,Switzerland,2020-08-30,-0.1
CHE,Switzerland,2020-09-06,-0.48
CHE,Switzerland,2020-09-13,4.75
CHE,Switzerland,2020-09-20,1.85
CHE,Switzerland,2020-09-27,1.95
CHE,Switzerland,2020-10-04,-1.91
CHE,Switzerland,2020-10-11,5.74
CHE,Switzerland,2020-10-18,1.35
CHE,Switzerland,2020-10-25,18.31
CHE,Switzerland,2020-11-01,32.4
CHE,Switzerland,2020-11-08,60.79
CHE,Switzerland,2020-11-15,62.51
CHE,Switzerland,2020-11-22,62.72
CHE,Switzerland,2020-11-29,51.17
CHE,Switzerland,2020-12-06,50.42
CHE,Switzerland,2020-12-13,41.82
CHE,Switzerland,2020-12-20,56.13
CHE,Switzerland,2020-12-27,47.56
CHE,Switzerland,2021-01-03,41.94
CHE,Switzerland,2021-01-10,26.86
CHE,Switzerland,2021-01-17,20.1
CHE,Switzerland,2021-01-24,16.52
CHL,Chile,2020-01-05,7.57
CHL,Chile,2020-01-12,11.38
CHL,Chile,2020-01-19,8.65
CHL,Chile,2020-01-26,2.66
CHL,Chile,2020-02-02,2.89
CHL,Chile,2020-02-09,8.43
CHL,Chile,2020-02-16,4.08
CHL,Chile,2020-02-23,0.98
CHL,Chile,2020-03-01,5.69
CHL,Chile,2020-03-08,5.35
CHL,Chile,2020-03-15,7.27
CHL,Chile,2020-03-22,11.17
CHL,Chile,2020-03-29,8.84
CHL,Chile,2020-04-05,10.26
CHL,Chile,2020-04-12,3.0
CHL,Chile,2020-04-19,9.27
CHL,Chile,2020-04-26,5.57
CHL,Chile,2020-05-03,5.23
CHL,Chile,2020-05-10,19.75
CHL,Chile,2020-05-17,19.51
CHL,Chile,2020-05-24,34.7
CHL,Chile,2020-05-31,53.65
CHL,Chile,2020-06-07,68.71
CHL,Chile,2020-06-14,64.87
CHL,Chile,2020-06-21,53.82
CHL,Chile,2020-06-28,44.15
CHL,Chile,2020-07-05,28.49
CHL,Chile,2020-07-12,25.67
CHL,Chile,2020-07-19,16.05
CHL,Chile,2020-07-26,13.8
CHL,Chile,2020-08-02,13.18
CHL,Chile,2020-08-09,10.46
CHL,Chile,2020-08-16,8.29
CHL,Chile,2020-08-23,16.68
CHL,Chile,2020-08-30,15.03
CHL,Chile,2020-09-06,8.12
CHL,Chile,2020-09-13,11.58
CHL,Chile,2020-09-20,8.47
CHL,Chile,2020-09-27,11.36
CHL,Chile,2020-10-04,12.93
CHL,Chile,2020-10-11,19.46
CHL,Chile,2020-10-18,16.46
CHL,Chile,2020-10-25,17.55
CHL,Chile,2020-11-01,16.68
CHL,Chile,2020-11-08,14.98
CHL,Chile,2020-11-15,11.64
CHL,Chile,2020-11-22,12.45
CHL,Chile,2020-11-29,16.12
CHL,Chile,2020-12-06,17.19
CHL,Chile,2020-12-13,15.72
CHL,Chile,2020-12-20,14.54
CHL,Chile,2020-12-27,30.27
CHL,Chile,2021-01-03,26.96
CHL,Chile,2021-01-10,25.28
CHL,Chile,2021-01-17,29.83
CHL,Chile,2021-01-24,34.06
CZE,Czech Republic,2020-01-05,-2.55
CZE,Czech Republic,2020-01-12,-0.92
CZE,Czech Republic,2020-01-19,-6.03
CZE,Czech Republic,2020-01-26,-2.15
CZE,Czech Republic,2020-02-02,-1.52
CZE,Czech Republic,2020-02-09,-4.6
CZE,Czech Republic,2020-02-16,-4.32
CZE,Czech Republic,2020-02-23,-6.2
CZE,Czech Republic,2020-03-01,-4.41
CZE,Czech Republic,2020-03-08,-4.94
CZE,Czech Republic,2020-03-15,-1.19
CZE,Czech Republic,2020-03-22,2.48
CZE,Czech Republic,2020-03-29,4.32
CZE,Czech Republic,2020-04-05,7.41
CZE,Czech Republic,2020-04-12,5.75
CZE,Czech Republic,2020-04-19,2.81
CZE,Czech Republic,2020-04-26,-3.75
CZE,Czech Republic,2020-05-03,4.12
CZE,Czech Republic,2020-05-10,-1.28
CZE,Czech Republic,2020-05-17,2.34
CZE,Czech Republic,2020-05-24,-3.45
CZE,Czech Republic,2020-05-31,-5.07
CZE,Czech Republic,2020-06-07,9.03
CZE,Czech Republic,2020-06-14,1.41
CZE,Czech Republic,2020-06-21,3.95
CZE,Czech Republic,2020-06-28,6.11
CZE,Czech Republic,2020-07-05,6.52
CZE,Czech Republic,2020-07-12,0.45
CZE,Czech Republic,2020-07-19,-0.39
CZE,Czech Republic,2020-07-26,2.76
CZE,Czech Republic,2020-08-02,9.44
CZE,Czech Republic,2020-08-09,6.99
CZE,Czech Republic,2020-08-16,6.37
CZE,Czech Republic,2020-08-23,7.08
CZE,Czech Republic,2020-08-30,3.92
CZE,Czech Republic,2020-09-06,4.24
CZE,Czech Republic,2020-09-13,6.21
CZE,Czech Republic,2020-09-20,11.73
CZE,Czech Republic,2020-09-27,18.22
CZE,Czech Republic,2020-10-04,13.33
CZE,Czech Republic,2020-10-11,23.21
CZE,Czech Republic,2020-10-18,42.17
CZE,Czech Republic,2020-10-25,75.1
CZE,Czech Republic,2020-11-01,105.11
CZE,Czech Republic,2020-11-08,107.53
CZE,Czech Republic,2020-11-15,84.84
CZE,Czech Republic,2020-11-22,63.2
CZE,Czech Republic,2020-11-29,51.31
CZE,Czech Republic,2020-12-06,45.8
CZE,Czech Republic,2020-12-13,42.95
CZE,Czech Republic,2020-12-20,45.04
CZE,Czech Republic,2020-12-27,41.41
DEU,Germany,2020-01-05,-2.33
DEU,Germany,2020-01-12,-0.93
DEU,Germany,2020-01-19,-1.89
DEU,Germany,2020-01-26,-4.66
DEU,Germany,2020-02-02,-2.83
DEU,Germany,2020-02-09,-6.43
DEU,Germany,2020-02-16,-4.81
DEU,Germany,2020-02-23,-9.75
DEU,Germany,2020-03-01,-9.53
DEU,Germany,2020-03-08,-7.8
DEU,Germany,2020-03-15,-2.79
DEU,Germany,2020-03-22,0.9
DEU,Germany,2020-03-29,3.95
DEU,Germany,2020-04-05,11.63
DEU,Germany,2020-04-12,14.55
DEU,Germany,2020-04-19,10.99
DEU,Germany,2020-04-26,6.51
DEU,Germany,2020-05-03,5.52
DEU,Germany,2020-05-10,1.77
DEU,Germany,2020-05-17,0.68
DEU,Germany,2020-05-24,3.46
DEU,Germany,2020-05-31,-0.26
DEU,Germany,2020-06-07,4.89
DEU,Germany,2020-06-14,3.96
DEU,Germany,2020-06-21,-0.97
DEU,Germany,2020-06-28,4.33
DEU,Germany,2020-07-05,-0.14
DEU,Germany,2020-07-12,0.72
DEU,Germany,2020-07-19,-1.59
DEU,Germany,2020-07-26,-3.67
DEU,Germany,2020-08-02,0.35
DEU,Germany,2020-08-09,5.42
DEU,Germany,2020-08-16,20.63
DEU,Germany,2020-08-23,6.47
DEU,Germany,2020-08-30,1.07
DEU,Germany,2020-09-06,4.16
DEU,Germany,2020-09-13,4.93
DEU,Germany,2020-09-20,7.36
DEU,Germany,2020-09-27,4.6
DEU,Germany,2020-10-04,5.55
DEU,Germany,2020-10-11,0.21
DEU,Germany,2020-10-18,2.44
DEU,Germany,2020-10-25,7.99
DEU,Germany,2020-11-01,7.62
DEU,Germany,2020-11-08,7.43
DEU,Germany,2020-11-15,10.11
DEU,Germany,2020-11-22,11.54
DEU,Germany,2020-11-29,16.17
DEU,Germany,2020-12-06,20.27
DEU,Germany,2020-12-13,27.2
DEU,Germany,2020-12-20,27.84
DEU,Germany,2020-12-27,33.15
DEU,Germany,2021-01-03,31.61
DNK,Denmark,2020-01-05,-0.39
DNK,Denmark,2020-01-12,3.14
DNK,Denmark,2020-01-19,-2.85
DNK,Denmark,2020-01-26,-6.09
DNK,Denmark,2020-02-02,-4.8
DNK,Denmark,2020-02-09,-5.25
DNK,Denmark,2020-02-16,-9.29
DNK,Denmark,2020-02-23,-10.57
DNK,Denmark,2020-03-01,-13.31
DNK,Denmark,2020-03-08,-9.29
DNK,Denmark,2020-03-15,-7.96
DNK,Denmark,2020-03-22,1.59
DNK,Denmark,2020-03-29,2.47
DNK,Denmark,2020-04-05,9.51
DNK,Denmark,2020-04-12,6.96
DNK,Denmark,2020-04-19,5.13
DNK,Denmark,2020-04-26,10.46
DNK,Denmark,2020-05-03,1.28
DNK,Denmark,2020-05-10,1.3
DNK,Denmark,2020-05-17,-2.24
DNK,Denmark,2020-05-24,2.66
DNK,Denmark,2020-05-31,-0.12
DNK,Denmark,2020-06-07,-0.97
DNK,Denmark,2020-06-14,2.67
DNK,Denmark,2020-06-21,-2.25
DNK,Denmark,2020-06-28,5.83
DNK,Denmark,2020-07-05,5.67
DNK,Denmark,2020-07-12,1.51
DNK,Denmark,2020-07-19,7.1
DNK,Denmark,2020-07-26,-3.59
DNK,Denmark,2020-08-02,1.78
DNK,Denmark,2020-08-09,0.06
DNK,Denmark,2020-08-16,5.17
DNK,Denmark,2020-08-23,2.66
DNK,Denmark,2020-08-30,1.28
DNK,Denmark,2020-09-06,4.56
DNK,Denmark,2020-09-13,3.56
DNK,Denmark,2020-09-20,12.1
DNK,Denmark,2020-09-27,-0.51
DNK,Denmark,2020-10-04,2.64
DNK,Denmark,2020-10-11,-5.42
DNK,Denmark,2020-10-18,2.56
DNK,Denmark,2020-10-25,11.4
DNK,Denmark,2020-11-01,-0.77
DNK,Denmark,2020-11-08,2.97
DNK,Denmark,2020-11-15,7.74
DNK,Denmark,2020-11-22,6.16
DNK,Denmark,2020-11-29,5.3
DNK,Denmark,2020-12-06,2.24
DNK,Denmark,2020-12-13,2.28
DNK,Denmark,2020-12-20,20.55
DNK,Denmark,2020-12-27,13.89
DNK,Denmark,2021-01-03,18.21
DNK,Denmark,2021-01-10,9.86
DNK,Denmark,2021-01-17,8.43
DNK,Denmark,2021-01-24,15.02
DNK,Denmark,2021-01-31,8.91
ESP,Spain,2020-01-05,-12.26
ESP,Spain,2020-01-12,-9.15
ESP,Spain,2020-01-19,-5.65
ESP,Spain,2020-01-26,-2.4
ESP,Spain,2020-02-02,-1.11
ESP,Spain,2020-02-09,-6.48
ESP,Spain,2020-02-16,-8.58
ESP,Spain,2020-02-23,-10.73
ESP,Spain,2020-03-01,-8.98
ESP,Spain,2020-03-08,-4.93
ESP,Spain,2020-03-15,10.43
ESP,Spain,2020-03-22,54.49
ESP,Spain,2020-03-29,137.89
ESP,Spain,2020-04-05,156.3
ESP,Spain,2020-04-12,115.22
ESP,Spain,2020-04-19,68.99
ESP,Spain,2020-04-26,34.86
ESP,Spain,2020-05-03,18.77
ESP,Spain,2020-05-10,10.74
ESP,Spain,2020-05-17,-0.71
ESP,Spain,2020-05-24,1.51
ESP,Spain,2020-05-31,3.36
ESP,Spain,2020-06-07,-3.89
ESP,Spain,2020-06-14,-7.09
ESP,Spain,2020-06-21,-6.84
ESP,Spain,2020-06-28,0.38
ESP,Spain,2020-07-05,2.68
ESP,Spain,2020-07-12,3.82
ESP,Spain,2020-07-19,3.57
ESP,Spain,2020-07-26,7.86
ESP,Spain,2020-08-02,16.08
ESP,Spain,2020-08-09,15.47
ESP,Spain,2020-08-16,16.39
ESP,Spain,2020-08-23,14.05
ESP,Spain,2020-08-30,15.6
ESP,Spain,2020-09-06,15.22
ESP,Spain,2020-09-13,20.99
ESP,Spain,2020-09-20,19.74
ESP,Spain,2020-09-27,16.54
ESP,Spain,2020-10-04,17.64
ESP,Spain,2020-10-11,22.04
ESP,Spain,2020-10-18,20.65
ESP,Spain,2020-10-25,31.4
ESP,Spain,2020-11-01,30.81
ESP,Spain,2020-11-08,37.63
ESP,Spain,2020-11-15,29.9
ESP,Spain,2020-11-22,24.93
ESP,Spain,2020-11-29,19.97
ESP,Spain,2020-12-06,19.49
ESP,Spain,2020-12-13,13.87
ESP,Spain,2020-12-20,8.99
ESP,Spain,2020-12-27,1.26
ESP,Spain,2021-01-03,3.16
ESP,Spain,2021-01-10,2.03
ESP,Spain,2021-01-17,7.39
EST,Estonia,2020-01-05,-13.9
EST,Estonia,2020-01-12,-4.0
EST,Estonia,2020-01-19,-4.47
EST,Estonia,2020-01-26,-10.61
EST,Estonia,2020-02-02,-9.01
EST,Estonia,2020-02-09,-19.01
EST,Estonia,2020-02-16,0.12
EST,Estonia,2020-02-23,-1.36
EST,Estonia,2020-03-01,-5.82
EST,Estonia,2020-03-08,-12.38
EST,Estonia,2020-03-15,5.38
EST,Estonia,2020-03-22,0.06
EST,Estonia,2020-03-29,3.54
EST,Estonia,2020-04-05,4.28
EST,Estonia,2020-04-12,3.95
EST,Estonia,2020-04-19,4.54
EST,Estonia,2020-04-26,14.31
EST,Estonia,2020-05-03,6.43
EST,Estonia,2020-05-10,9.87
EST,Estonia,2020-05-17,-4.65
EST,Estonia,2020-05-24,-3.0
EST,Estonia,2020-05-31,10.42
EST,Estonia,2020-06-07,-2.72
EST,Estonia,2020-06-14,3.79
EST,Estonia,2020-06-21,1.84
EST,Estonia,2020-06-28,11.49
EST,Estonia,2020-07-05,3.36
EST,Estonia,2020-07-12,3.99
EST,Estonia,2020-07-19,4.81
EST,Estonia,2020-07-26,5.84
EST,Estonia,2020-08-02,14.18
EST,Estonia,2020-08-09,3.42
EST,Estonia,2020-08-16,6.4
EST,Estonia,2020-08-23,-0.08
EST,Estonia,2020-08-30,10.21
EST,Estonia,2020-09-06,6.47
EST,Estonia,2020-09-13,-6.09
EST,Estonia,2020-09-20,11.51
EST,Estonia,2020-09-27,15.84
EST,Estonia,2020-10-04,6.0
EST,Estonia,2020-10-11,-3.99
EST,Estonia,2020-10-18,7.05
EST,Estonia,2020-10-25,4.19
EST,Estonia,2020-11-01,-8.63
EST,Estonia,2020-11-08,3.29
EST,Estonia,2020-11-15,0.34
EST,Estonia,2020-11-22,13.68
EST,Estonia,2020-11-29,15.44
EST,Estonia,2020-12-06,15.46
EST,Estonia,2020-12-13,14.69
EST,Estonia,2020-12-20,9.93
EST,Estonia,2020-12-27,14.19
EST,Estonia,2021-01-03,16.73
EST,Estonia,2021-01-10,9.08
EST,Estonia,2021-01-17,12.24
EST,Estonia,2021-01-24,21.52
EST,Estonia,2021-01-31,1.31
FIN,Finland,2020-01-05,-10.23
FIN,Finland,2020-01-12,-9.52
FIN,Finland,2020-01-19,-9.67
FIN,Finland,2020-01-26,-7.82
FIN,Finland,2020-02-02,-5.59
FIN,Finland,2020-02-09,-0.71
FIN,Finland,2020-02-16,-0.07
FIN,Finland,2020-02-23,-0.38
FIN,Finland,2020-03-01,-6.27
FIN,Finland,2020-03-08,0.31
FIN,Finland,2020-03-15,0.2
FIN,Finland,2020-03-22,3.16
FIN,Finland,2020-03-29,4.14
FIN,Finland,2020-04-05,2.88
FIN,Finland,2020-04-12,12.66
FIN,Finland,2020-04-19,3.42
FIN,Finland,2020-04-26,12.47
FIN,Finland,2020-05-03,8.98
FIN,Finland,2020-05-10,8.33
FIN,Finland,2020-05-17,13.72
FIN,Finland,2020-05-24,-0.17
FIN,Finland,2020-05-31,4.17
FIN,Finland,2020-06-07,1.84
FIN,Finland,2020-06-14,5.58
FIN,Finland,2020-06-21,10.34
FIN,Finland,2020-06-28,7.41
FIN,Finland,2020-07-05,5.41
FIN,Finland,2020-07-12,0.0
FIN,Finland,2020-07-19,6.61
FIN,Finland,2020-07-26,-0.97
FIN,Finland,2020-08-02,4.62
FIN,Finland,2020-08-09,3.16
FIN,Finland,2020-08-16,2.8
FIN,Finland,2020-08-23,6.09
FIN,Finland,2020-08-30,2.6
FIN,Finland,2020-09-06,1.22
FIN,Finland,2020-09-13,16.37
FIN,Finland,2020-09-20,5.72
FIN,Finland,2020-09-27,9.71
FIN,Finland,2020-10-04,-3.88
FIN,Finland,2020-10-11,-3.79
FIN,Finland,2020-10-18,5.57
FIN,Finland,2020-10-25,3.5
FIN,Finland,2020-11-01,9.24
FIN,Finland,2020-11-08,3.11
FIN,Finland,2020-11-15,2.53
FIN,Finland,2020-11-22,8.68
FIN,Finland,2020-11-29,6.43
FIN,Finland,2020-12-06,3.78
FIN,Finland,2020-12-13,2.68
FIN,Finland,2020-12-20,0.26
FIN,Finland,2020-12-27,-19.3
FIN,Finland,2021-01-03,-21.28
FIN,Finland,2021-01-10,-9.63
FIN,Finland,2021-01-17,-12.23
FIN,Finland,2021-01-24,-30.83
FRA,France,2020-01-05,-5.33
FRA,France,2020-01-12,-2.71
FRA,France,2020-01-19,-4.66
FRA,France,2020-01-26,-5.68
FRA,France,2020-02-02,-4.12
FRA,France,2020-02-09,-5.96
FRA,France,2020-02-16,-5.89
FRA,France,2020-02-23,-8.23
FRA,France,2020-03-01,-6.81
FRA,France,2020-03-08,-3.88
FRA,France,2020-03-15,4.26
FRA,France,2020-03-22,18.66
FRA,France,2020-03-29,39.03
FRA,France,2020-04-05,65.19
FRA,France,2020-04-12,57.14
FRA,France,2020-04-19,39.57
FRA,France,2020-04-26,17.43
FRA,France,2020-05-03,4.44
FRA,France,2020-05-10,3.67
FRA,France,2020-05-17,2.07
FRA,France,2020-05-24,5.54
FRA,France,2020-05-31,1.57
FRA,France,2020-06-07,1.79
FRA,France,2020-06-14,2.62
FRA,France,2020-06-21,0.55
FRA,France,2020-06-28,6.95
FRA,France,2020-07-05,-6.84
FRA,France,2020-07-12,0.92
FRA,France,2020-07-19,-3.1
FRA,France,2020-07-26,0.96
FRA,France,2020-08-02,6.85
FRA,France,2020-08-09,4.72
FRA,France,2020-08-16,17.3
FRA,France,2020-08-23,1.76
FRA,France,2020-08-30,2.03
FRA,France,2020-09-06,5.23
FRA,France,2020-09-13,8.0
FRA,France,2020-09-20,10.73
FRA,France,2020-09-27,2.01
FRA,France,2020-10-04,8.65
FRA,France,2020-10-11,5.8
FRA,France,2020-10-18,10.34
FRA,France,2020-10-25,22.44
FRA,France,2020-11-01,30.53
FRA,France,2020-11-08,38.01
FRA,France,2020-11-15,36.66
FRA,France,2020-11-22,31.04
FRA,France,2020-11-29,26.97
FRA,France,2020-12-06,24.05
