iso_code,country,date,yougov_support_quarantine_any_person
FRA,France,2020-05-01,62
FRA,France,2020-05-20,57
FRA,France,2020-05-27,54
FRA,France,2020-06-04,51
FRA,France,2020-06-12,45
FRA,France,2020-06-17,51
FRA,France,2020-06-24,49
FRA,France,2020-07-01,58
FRA,France,2020-07-16,55
FRA,France,2020-07-22,56
FRA,France,2020-08-07,53
FRA,France,2020-08-12,55
GBR,United Kingdom,2020-03-01,65
GBR,United Kingdom,2020-03-13,59
GBR,United Kingdom,2020-03-20,68
GBR,United Kingdom,2020-03-27,74
GBR,United Kingdom,2020-04-03,77
GBR,United Kingdom,2020-04-14,72
GBR,United Kingdom,2020-04-17,70
GBR,United Kingdom,2020-04-24,71
GBR,United Kingdom,2020-05-01,70
GBR,United Kingdom,2020-05-30,71
GBR,United Kingdom,2020-06-05,68
GBR,United Kingdom,2020-06-16,68
GBR,United Kingdom,2020-06-25,67
GBR,United Kingdom,2020-07-03,65
GBR,United Kingdom,2020-07-12,60
GBR,United Kingdom,2020-07-26,63
GBR,United Kingdom,2020-07-31,70
GBR,United Kingdom,2020-08-07,65
GBR,United Kingdom,2020-08-12,70
GBR,United Kingdom,2020-08-25,74
HKG,Hong Kong SAR China,2020-02-25,71
HKG,Hong Kong SAR China,2020-03-03,66
HKG,Hong Kong SAR China,2020-03-10,62
HKG,Hong Kong SAR China,2020-03-17,64
HKG,Hong Kong SAR China,2020-03-24,66
HKG,Hong Kong SAR China,2020-03-31,67
HKG,Hong Kong SAR China,2020-04-07,72
HKG,Hong Kong SAR China,2020-04-14,71
HKG,Hong Kong SAR China,2020-04-21,68
HKG,Hong Kong SAR China,2020-04-28,68
HKG,Hong Kong SAR China,2020-05-05,70
HKG,Hong Kong SAR China,2020-06-08,69
HKG,Hong Kong SAR China,2020-06-22,66
HKG,Hong Kong SAR China,2020-07-06,64
HKG,Hong Kong SAR China,2020-08-04,71
HKG,Hong Kong SAR China,2020-08-18,69
IDN,Indonesia,2020-02-24,50
IDN,Indonesia,2020-03-02,50
IDN,Indonesia,2020-03-09,55
IDN,Indonesia,2020-03-16,61
IDN,Indonesia,2020-03-23,67
IDN,Indonesia,2020-03-30,74
IDN,Indonesia,2020-04-06,74
IDN,Indonesia,2020-04-13,75
IDN,Indonesia,2020-04-20,73
IDN,Indonesia,2020-04-27,73
IDN,Indonesia,2020-05-22,73
IDN,Indonesia,2020-06-08,67
IDN,Indonesia,2020-06-22,69
IDN,Indonesia,2020-07-06,69
IDN,Indonesia,2020-08-03,65
IDN,Indonesia,2020-08-17,66
IND,India,2020-03-16,57
IND,India,2020-03-20,61
IND,India,2020-03-27,75
IND,India,2020-04-03,76
IND,India,2020-04-10,83
IND,India,2020-04-17,84
IND,India,2020-04-24,80
IND,India,2020-05-01,81
IND,India,2020-07-23,68
IND,India,2020-08-02,69
IND,India,2020-08-05,69
IND,India,2020-08-14,72
IND,India,2020-08-21,65
ITA,Italy,2020-03-11,80
ITA,Italy,2020-03-19,83
ITA,Italy,2020-03-25,82
ITA,Italy,2020-04-03,81
ITA,Italy,2020-04-09,81
ITA,Italy,2020-04-16,79
ITA,Italy,2020-04-23,79
ITA,Italy,2020-04-30,77
ITA,Italy,2020-05-26,63
ITA,Italy,2020-06-02,59
ITA,Italy,2020-06-10,59
ITA,Italy,2020-06-17,58
ITA,Italy,2020-06-23,55
ITA,Italy,2020-07-07,67
ITA,Italy,2020-07-14,68
ITA,Italy,2020-07-21,66
ITA,Italy,2020-07-28,64
ITA,Italy,2020-08-18,69
ITA,Italy,2020-08-25,66
JPN,Japan,2020-03-17,47
JPN,Japan,2020-03-24,49
JPN,Japan,2020-03-30,55
JPN,Japan,2020-04-06,60
JPN,Japan,2020-04-13,61
JPN,Japan,2020-04-20,62
JPN,Japan,2020-04-27,62
JPN,Japan,2020-05-04,59
MEX,Mexico,2020-03-17,69
MEX,Mexico,2020-03-23,76
MEX,Mexico,2020-03-30,76
MEX,Mexico,2020-04-06,77
MEX,Mexico,2020-04-13,77
MEX,Mexico,2020-04-20,78
MEX,Mexico,2020-04-27,77
MEX,Mexico,2020-05-06,76
MYS,Malaysia,2020-02-24,65
MYS,Malaysia,2020-03-02,64
MYS,Malaysia,2020-03-09,67
MYS,Malaysia,2020-03-16,75
MYS,Malaysia,2020-03-23,81
MYS,Malaysia,2020-03-30,82
MYS,Malaysia,2020-04-06,85
MYS,Malaysia,2020-04-13,84
MYS,Malaysia,2020-04-20,83
MYS,Malaysia,2020-04-27,87
MYS,Malaysia,2020-05-04,83
MYS,Malaysia,2020-05-25,82
MYS,Malaysia,2020-06-08,81
MYS,Malaysia,2020-06-22,81
MYS,Malaysia,2020-07-06,77
MYS,Malaysia,2020-08-03,77
MYS,Malaysia,2020-08-17,83
PHL,Philippines,2020-02-24,63
PHL,Philippines,2020-03-02,62
PHL,Philippines,2020-03-09,63
PHL,Philippines,2020-03-16,70
PHL,Philippines,2020-03-23,75
PHL,Philippines,2020-03-30,76
PHL,Philippines,2020-04-06,81
PHL,Philippines,2020-04-13,81
PHL,Philippines,2020-04-20,78
PHL,Philippines,2020-04-27,80
PHL,Philippines,2020-05-04,80
PHL,Philippines,2020-05-25,77
PHL,Philippines,2020-06-08,76
PHL,Philippines,2020-06-22,79
PHL,Philippines,2020-07-06,81
PHL,Philippines,2020-08-03,77
PHL,Philippines,2020-08-17,82
SGP,Singapore,2020-02-21,64
SGP,Singapore,2020-02-28,73
SGP,Singapore,2020-03-06,71
SGP,Singapore,2020-03-13,62
SGP,Singapore,2020-03-20,68
SGP,Singapore,2020-03-27,67
SGP,Singapore,2020-04-03,79
SGP,Singapore,2020-04-10,76
SGP,Singapore,2020-04-17,71
SGP,Singapore,2020-04-24,78
SGP,Singapore,2020-05-01,75
SGP,Singapore,2020-05-22,78
SGP,Singapore,2020-06-05,74
SGP,Singapore,2020-06-19,78
SGP,Singapore,2020-07-07,76
SGP,Singapore,2020-08-03,73
SGP,Singapore,2020-08-14,75
THA,Thailand,2020-02-24,49
THA,Thailand,2020-03-02,54
THA,Thailand,2020-03-09,54
THA,Thailand,2020-03-16,51
THA,Thailand,2020-03-23,61
THA,Thailand,2020-03-30,68
THA,Thailand,2020-04-06,72
THA,Thailand,2020-04-13,75
THA,Thailand,2020-04-20,74
THA,Thailand,2020-04-27,71
THA,Thailand,2020-05-04,71
THA,Thailand,2020-05-25,69
THA,Thailand,2020-06-08,66
THA,Thailand,2020-06-22,63
THA,Thailand,2020-07-06,65
THA,Thailand,2020-08-17,63
TWN,Taiwan,2020-02-25,72
TWN,Taiwan,2020-03-03,64
TWN,Taiwan,2020-03-10,62
TWN,Taiwan,2020-03-17,60
TWN,Taiwan,2020-03-24,66
TWN,Taiwan,2020-03-31,68
TWN,Taiwan,2020-04-07,71
TWN,Taiwan,2020-04-14,69
TWN,Taiwan,2020-04-21,69
TWN,Taiwan,2020-04-28,67
TWN,Taiwan,2020-05-05,63
TWN,Taiwan,2020-05-25,66
TWN,Taiwan,2020-06-08,59
TWN,Taiwan,2020-06-22,64
TWN,Taiwan,2020-07-06,64
TWN,Taiwan,2020-08-03,59
TWN,Taiwan,2020-08-17,62
USA,United States,2020-03-02,58
USA,United States,2020-03-17,61
USA,United States,2020-03-23,64
USA,United States,2020-03-30,71
USA,United States,2020-04-06,69
USA,United States,2020-04-13,69
USA,United States,2020-04-20,66
USA,United States,2020-04-27,66
USA,United States,2020-05-06,62
USA,United States,2020-05-26,56
USA,United States,2020-06-01,56
USA,United States,2020-06-08,50
USA,United States,2020-06-15,56
USA,United States,2020-06-22,53
USA,United States,2020-07-06,54
USA,United States,2020-07-14,57
USA,United States,2020-07-20,50
USA,United States,2020-07-27,55
USA,United States,2020-08-03,52
USA,United States,2020-08-10,58
USA,United States,2020-08-17,56
USA,United States,2020-08-25,53
VNM,Vietnam,2020-03-30,77
VNM,Vietnam,2020-04-06,78
VNM,Vietnam,2020-04-13,83
VNM,Vietnam,2020-04-20,82
VNM,Vietnam,2020-04-27,86
VNM,Vietnam,2020-05-04,83
VNM,Vietnam,2020-05-25,78
VNM,Vietnam,2020-06-08,77
VNM,Vietnam,2020-06-22,76
VNM,Vietnam,2020-07-06,75
VNM,Vietnam,2020-08-03,78
VNM,Vietnam,2020-08-17,80
