iso_code,country,date,yougov_government_handling
MYS,Malaysia,2020-09-14,91
MYS,Malaysia,2020-09-28,90
NOR,Norway,2020-03-16,42
NOR,Norway,2020-03-23,70
NOR,Norway,2020-03-29,74
NOR,Norway,2020-04-05,85
NOR,Norway,2020-04-12,81
NOR,Norway,2020-04-19,79
NOR,Norway,2020-04-26,79
NOR,Norway,2020-05-03,83
NOR,Norway,2020-05-15,82
NOR,Norway,2020-05-22,81
NOR,Norway,2020-05-29,82
NOR,Norway,2020-06-05,84
NOR,Norway,2020-06-12,81
NOR,Norway,2020-06-19,82
NOR,Norway,2020-06-26,79
NOR,Norway,2020-09-14,75
NOR,Norway,2020-09-27,77
PHL,Philippines,2020-05-11,72
PHL,Philippines,2020-05-18,74
PHL,Philippines,2020-05-25,64
PHL,Philippines,2020-06-01,64
PHL,Philippines,2020-06-08,62
PHL,Philippines,2020-06-15,58
PHL,Philippines,2020-06-22,59
PHL,Philippines,2020-06-29,51
PHL,Philippines,2020-07-20,52
PHL,Philippines,2020-08-03,55
PHL,Philippines,2020-08-17,55
PHL,Philippines,2020-08-31,52
PHL,Philippines,2020-09-14,56
PHL,Philippines,2020-09-28,57
POL,Poland,2020-05-12,39
POL,Poland,2020-05-19,45
POL,Poland,2020-05-26,42
POL,Poland,2020-06-02,44
POL,Poland,2020-06-09,44
POL,Poland,2020-06-16,38
POL,Poland,2020-06-23,36
POL,Poland,2020-06-30,40
SGP,Singapore,2020-05-08,74
SGP,Singapore,2020-05-15,77
SGP,Singapore,2020-05-22,80
SGP,Singapore,2020-05-29,79
SGP,Singapore,2020-06-05,81
SGP,Singapore,2020-06-12,81
SGP,Singapore,2020-06-19,81
SGP,Singapore,2020-06-26,82
SGP,Singapore,2020-07-20,70
SGP,Singapore,2020-08-14,76
SGP,Singapore,2020-08-28,79
SGP,Singapore,2020-09-11,81
SGP,Singapore,2020-09-25,82
SWE,Sweden,2020-03-16,41
SWE,Sweden,2020-03-23,56
SWE,Sweden,2020-03-29,59
SWE,Sweden,2020-04-05,51
SWE,Sweden,2020-04-12,57
SWE,Sweden,2020-04-19,57
SWE,Sweden,2020-04-26,64
SWE,Sweden,2020-05-11,63
SWE,Sweden,2020-05-15,64
SWE,Sweden,2020-05-22,55
SWE,Sweden,2020-05-29,57
SWE,Sweden,2020-06-04,51
SWE,Sweden,2020-06-12,51
SWE,Sweden,2020-06-19,46
SWE,Sweden,2020-06-26,48
SWE,Sweden,2020-09-11,56
SWE,Sweden,2020-09-23,57
TWN,Taiwan,2020-05-12,90
TWN,Taiwan,2020-05-19,91
TWN,Taiwan,2020-05-26,92
TWN,Taiwan,2020-06-02,92
TWN,Taiwan,2020-06-09,89
TWN,Taiwan,2020-06-16,91
TWN,Taiwan,2020-06-23,88
TWN,Taiwan,2020-06-30,84
TWN,Taiwan,2020-07-20,86
TWN,Taiwan,2020-08-03,84
TWN,Taiwan,2020-08-17,84
TWN,Taiwan,2020-08-31,81
TWN,Taiwan,2020-09-14,81
TWN,Taiwan,2020-09-28,82
USA,United States,2020-03-17,46
USA,United States,2020-03-23,53
USA,United States,2020-03-30,51
USA,United States,2020-04-06,50
USA,United States,2020-04-13,49
USA,United States,2020-04-20,48
USA,United States,2020-04-27,47
USA,United States,2020-05-12,45
USA,United States,2020-05-19,43
USA,United States,2020-05-26,44
USA,United States,2020-06-02,41
USA,United States,2020-06-09,43
USA,United States,2020-06-16,42
USA,United States,2020-06-23,41
USA,United States,2020-06-30,38
USA,United States,2020-07-08,40
USA,United States,2020-07-13,38
USA,United States,2020-07-22,36
USA,United States,2020-07-28,37
USA,United States,2020-08-04,38
USA,United States,2020-08-11,39
USA,United States,2020-08-18,38
USA,United States,2020-09-28,36
VNM,Vietnam,2020-03-23,81
VNM,Vietnam,2020-03-30,93
VNM,Vietnam,2020-04-06,94
VNM,Vietnam,2020-04-13,95
VNM,Vietnam,2020-04-20,93
VNM,Vietnam,2020-04-27,98
VNM,Vietnam,2020-05-04,97
VNM,Vietnam,2020-05-12,97
VNM,Vietnam,2020-05-19,98
VNM,Vietnam,2020-05-26,97
VNM,Vietnam,2020-06-02,97
VNM,Vietnam,2020-06-09,97
VNM,Vietnam,2020-06-16,97
VNM,Vietnam,2020-06-23,97
VNM,Vietnam,2020-06-30,97
VNM,Vietnam,2020-07-20,92
VNM,Vietnam,2020-08-03,76
VNM,Vietnam,2020-08-17,89
VNM,Vietnam,2020-08-31,91
VNM,Vietnam,2020-09-14,92
VNM,Vietnam,2020-09-28,92
