iso_code,country,date,yougov_avoiding_contact_with_tourists
SGP,Singapore,2020-12-04,38.0
SGP,Singapore,2020-12-18,38.0
SGP,Singapore,2021-01-04,40.0
SGP,Singapore,2021-01-15,41.0
SGP,Singapore,2021-01-29,43.0
SGP,Singapore,2021-02-12,39.0
SGP,Singapore,2021-02-26,38.0
SGP,Singapore,2021-03-12,39.0
SGP,Singapore,2021-03-26,41.0
SGP,Singapore,2021-04-09,37.0
SGP,Singapore,2021-04-23,36.0
SGP,Singapore,2021-05-07,37.0
SGP,Singapore,2021-05-21,43.0
SGP,Singapore,2021-06-04,44.0
SGP,Singapore,2021-06-18,43.0
SGP,Singapore,2021-07-02,42.0
SGP,Singapore,2021-07-16,41.0
SWE,Sweden,2020-03-16,19.0
SWE,Sweden,2020-03-23,20.0
SWE,Sweden,2020-03-29,31.0
SWE,Sweden,2020-04-05,30.0
SWE,Sweden,2020-04-12,37.0
SWE,Sweden,2020-04-19,34.0
SWE,Sweden,2020-04-26,43.0
SWE,Sweden,2020-05-03,39.0
SWE,Sweden,2020-05-25,36.0
SWE,Sweden,2020-06-09,39.0
SWE,Sweden,2020-06-16,38.0
SWE,Sweden,2020-09-11,37.0
SWE,Sweden,2020-09-23,29.0
SWE,Sweden,2020-10-09,32.0
SWE,Sweden,2020-11-03,40.0
SWE,Sweden,2020-11-20,38.0
SWE,Sweden,2020-12-02,36.0
SWE,Sweden,2021-01-15,36.0
SWE,Sweden,2021-02-01,26.0
SWE,Sweden,2021-02-11,39.0
SWE,Sweden,2021-02-26,39.0
SWE,Sweden,2021-03-12,40.0
SWE,Sweden,2021-03-24,33.0
SWE,Sweden,2021-04-08,38.0
SWE,Sweden,2021-05-07,38.0
SWE,Sweden,2021-06-07,31.0
THA,Thailand,2020-02-24,40.0
THA,Thailand,2020-03-02,44.0
THA,Thailand,2020-03-09,46.0
THA,Thailand,2020-03-16,50.0
THA,Thailand,2020-03-23,58.0
THA,Thailand,2020-03-30,64.0
THA,Thailand,2020-04-06,60.0
THA,Thailand,2020-04-13,65.0
THA,Thailand,2020-04-20,65.0
THA,Thailand,2020-04-27,63.0
THA,Thailand,2020-05-04,61.0
THA,Thailand,2020-05-25,58.0
THA,Thailand,2020-06-08,57.0
THA,Thailand,2020-06-22,53.0
THA,Thailand,2020-07-06,54.0
THA,Thailand,2020-07-20,60.0
THA,Thailand,2020-08-03,51.0
THA,Thailand,2020-08-17,50.0
THA,Thailand,2020-08-31,49.0
THA,Thailand,2020-09-14,46.0
THA,Thailand,2020-09-28,51.0
THA,Thailand,2020-10-12,46.0
THA,Thailand,2020-10-26,49.0
THA,Thailand,2020-11-09,44.0
THA,Thailand,2020-11-23,50.0
THA,Thailand,2020-12-07,51.0
THA,Thailand,2020-12-21,49.0
THA,Thailand,2021-01-04,53.0
THA,Thailand,2021-01-18,56.0
THA,Thailand,2021-02-01,53.0
THA,Thailand,2021-02-16,51.0
THA,Thailand,2021-03-01,52.0
THA,Thailand,2021-03-15,50.0
THA,Thailand,2021-03-29,50.0
THA,Thailand,2021-04-12,52.0
THA,Thailand,2021-04-26,54.0
THA,Thailand,2021-05-10,55.0
THA,Thailand,2021-05-24,53.0
THA,Thailand,2021-06-07,55.0
THA,Thailand,2021-06-21,54.0
THA,Thailand,2021-07-05,57.0
THA,Thailand,2021-07-19,57.0
TWN,Taiwan,2020-02-25,51.0
TWN,Taiwan,2020-03-03,53.0
TWN,Taiwan,2020-03-10,53.0
TWN,Taiwan,2020-03-17,49.0
TWN,Taiwan,2020-03-24,58.0
TWN,Taiwan,2020-03-31,59.0
TWN,Taiwan,2020-04-07,63.0
TWN,Taiwan,2020-04-14,62.0
TWN,Taiwan,2020-04-21,61.0
TWN,Taiwan,2020-04-28,63.0
TWN,Taiwan,2020-05-05,61.0
TWN,Taiwan,2020-05-25,54.0
TWN,Taiwan,2020-06-08,48.0
TWN,Taiwan,2020-06-22,53.0
TWN,Taiwan,2020-07-06,50.0
TWN,Taiwan,2020-07-20,47.0
TWN,Taiwan,2020-08-03,47.0
TWN,Taiwan,2020-08-17,48.0
TWN,Taiwan,2020-08-31,47.0
TWN,Taiwan,2020-09-14,49.0
TWN,Taiwan,2020-09-28,47.0
TWN,Taiwan,2020-10-12,44.0
TWN,Taiwan,2020-10-27,49.0
TWN,Taiwan,2020-11-09,46.0
TWN,Taiwan,2020-11-24,45.0
TWN,Taiwan,2020-12-07,41.0
TWN,Taiwan,2020-12-21,46.0
TWN,Taiwan,2021-01-04,50.0
TWN,Taiwan,2021-01-18,47.0
TWN,Taiwan,2021-02-01,53.0
TWN,Taiwan,2021-02-16,48.0
TWN,Taiwan,2021-03-02,48.0
TWN,Taiwan,2021-03-22,42.0
TWN,Taiwan,2021-03-29,47.0
TWN,Taiwan,2021-04-12,42.0
TWN,Taiwan,2021-04-26,43.0
TWN,Taiwan,2021-05-10,46.0
TWN,Taiwan,2021-05-24,63.0
TWN,Taiwan,2021-06-07,64.0
TWN,Taiwan,2021-06-21,61.0
TWN,Taiwan,2021-07-05,62.0
TWN,Taiwan,2021-07-19,61.0
USA,United States,2020-03-02,17.0
USA,United States,2020-03-17,24.0
USA,United States,2020-03-23,34.0
USA,United States,2020-03-30,42.0
USA,United States,2020-04-06,42.0
USA,United States,2020-04-13,46.0
USA,United States,2020-04-20,40.0
USA,United States,2020-04-27,39.0
USA,United States,2020-05-26,39.0
USA,United States,2020-06-01,39.0
USA,United States,2020-06-08,33.0
USA,United States,2020-06-15,38.0
USA,United States,2020-06-22,37.0
USA,United States,2020-07-06,36.0
USA,United States,2020-07-14,39.0
USA,United States,2020-07-20,31.0
USA,United States,2020-07-27,37.0
USA,United States,2020-08-03,35.0
USA,United States,2020-08-10,40.0
USA,United States,2020-08-17,38.0
USA,United States,2020-08-25,35.0
USA,United States,2020-09-01,35.0
USA,United States,2020-09-08,39.0
USA,United States,2020-09-14,38.0
USA,United States,2020-09-21,37.0
USA,United States,2020-09-28,37.0
USA,United States,2020-10-06,38.0
USA,United States,2020-10-12,42.0
USA,United States,2020-10-19,32.0
USA,United States,2020-10-26,36.0
USA,United States,2020-11-02,41.0
USA,United States,2020-11-09,39.0
USA,United States,2020-11-16,42.0
USA,United States,2020-11-25,36.0
USA,United States,2020-12-02,43.0
USA,United States,2020-12-14,38.0
USA,United States,2020-12-22,37.0
USA,United States,2021-01-11,37.0
USA,United States,2021-01-20,38.0
USA,United States,2021-01-26,42.0
USA,United States,2021-02-03,37.0
USA,United States,2021-02-09,35.0
USA,United States,2021-02-17,34.0
USA,United States,2021-02-23,30.0
USA,United States,2021-03-01,40.0
USA,United States,2021-03-08,35.0
USA,United States,2021-03-16,33.0
USA,United States,2021-03-22,34.0
USA,United States,2021-03-31,34.0
USA,United States,2021-04-05,33.0
USA,United States,2021-04-12,32.0
USA,United States,2021-04-19,34.0
USA,United States,2021-05-02,31.0
USA,United States,2021-05-10,30.0
USA,United States,2021-05-18,24.0
USA,United States,2021-05-24,30.0
USA,United States,2021-05-31,27.0
USA,United States,2021-06-07,25.0
USA,United States,2021-06-14,26.0
USA,United States,2021-06-22,26.0
USA,United States,2021-07-07,25.0
USA,United States,2021-07-12,25.0
USA,United States,2021-07-19,25.0
VNM,Vietnam,2020-03-23,44.0
VNM,Vietnam,2020-03-30,65.0
VNM,Vietnam,2020-04-06,66.0
VNM,Vietnam,2020-07-20,59.0
VNM,Vietnam,2020-08-03,53.0
VNM,Vietnam,2020-08-17,59.0
VNM,Vietnam,2020-08-31,51.0
VNM,Vietnam,2020-09-14,53.0
VNM,Vietnam,2020-09-28,52.0
VNM,Vietnam,2020-10-12,53.0
VNM,Vietnam,2020-10-26,54.0
VNM,Vietnam,2020-11-09,56.0
VNM,Vietnam,2020-11-23,53.0
VNM,Vietnam,2020-12-07,58.0
VNM,Vietnam,2020-12-21,57.0
VNM,Vietnam,2021-01-04,57.0
VNM,Vietnam,2021-01-18,55.0
VNM,Vietnam,2021-02-01,58.0
VNM,Vietnam,2021-02-15,55.0
VNM,Vietnam,2021-03-01,46.0
VNM,Vietnam,2021-03-15,55.0
VNM,Vietnam,2021-03-29,55.0
VNM,Vietnam,2021-04-13,50.0
VNM,Vietnam,2021-04-26,51.0
VNM,Vietnam,2021-05-10,55.0
VNM,Vietnam,2021-05-24,56.0
VNM,Vietnam,2021-06-07,53.0
VNM,Vietnam,2021-06-21,57.0
VNM,Vietnam,2021-07-05,54.0
VNM,Vietnam,2021-07-19,54.0
