iso_code,country,date,yougov_support_cancel_large_events
PHL,Philippines,2020-06-08,71
PHL,Philippines,2020-06-22,75
PHL,Philippines,2020-07-06,74
SGP,Singapore,2020-02-21,50
SGP,Singapore,2020-04-03,76
SGP,Singapore,2020-04-10,75
SGP,Singapore,2020-04-17,70
SGP,Singapore,2020-04-24,76
SGP,Singapore,2020-05-01,73
SGP,Singapore,2020-05-22,79
SGP,Singapore,2020-06-05,72
SGP,Singapore,2020-06-19,78
SGP,Singapore,2020-07-07,75
THA,Thailand,2020-02-24,52
THA,Thailand,2020-04-06,71
THA,Thailand,2020-04-13,74
THA,Thailand,2020-04-20,72
THA,Thailand,2020-04-27,72
THA,Thailand,2020-05-04,70
THA,Thailand,2020-05-25,66
THA,Thailand,2020-06-08,62
THA,Thailand,2020-06-22,58
THA,Thailand,2020-07-06,55
TWN,Taiwan,2020-02-25,53
TWN,Taiwan,2020-04-07,74
TWN,Taiwan,2020-04-14,74
TWN,Taiwan,2020-04-21,72
TWN,Taiwan,2020-04-28,69
TWN,Taiwan,2020-05-05,66
TWN,Taiwan,2020-05-25,62
TWN,Taiwan,2020-06-08,57
TWN,Taiwan,2020-06-22,58
TWN,Taiwan,2020-07-06,57
USA,United States,2020-03-02,21
USA,United States,2020-03-17,62
USA,United States,2020-03-23,71
USA,United States,2020-03-30,78
USA,United States,2020-04-06,74
USA,United States,2020-04-13,71
USA,United States,2020-04-20,68
USA,United States,2020-04-27,67
USA,United States,2020-05-06,63
USA,United States,2020-05-26,53
USA,United States,2020-06-01,52
USA,United States,2020-06-08,46
USA,United States,2020-06-15,50
USA,United States,2020-06-22,51
USA,United States,2020-07-06,52
USA,United States,2020-07-14,59
USA,United States,2020-07-20,50
USA,United States,2020-07-27,57
VNM,Vietnam,2020-04-06,77
VNM,Vietnam,2020-04-13,79
VNM,Vietnam,2020-04-20,79
VNM,Vietnam,2020-04-27,82
VNM,Vietnam,2020-05-04,80
VNM,Vietnam,2020-05-25,73
VNM,Vietnam,2020-06-08,68
VNM,Vietnam,2020-06-22,67
VNM,Vietnam,2020-07-06,63
