iso_code,country,date,yougov_perceived_national_improvement
DEU,Germany,2020-05-11,55.0
DEU,Germany,2020-05-19,62.0
DEU,Germany,2020-05-26,64.0
DEU,Germany,2020-06-02,69.0
DEU,Germany,2020-06-09,69.0
DEU,Germany,2020-06-16,70.0
DEU,Germany,2020-06-23,59.0
DEU,Germany,2020-06-30,49.0
DEU,Germany,2020-07-30,23.0
DEU,Germany,2020-08-13,24.0
DEU,Germany,2020-08-27,21.0
DEU,Germany,2020-09-10,39.0
DEU,Germany,2020-09-24,19.0
DEU,Germany,2020-10-08,17.0
DEU,Germany,2020-10-22,10.0
DEU,Germany,2020-11-04,17.0
DEU,Germany,2020-11-19,29.0
DEU,Germany,2020-12-04,32.0
DEU,Germany,2020-12-17,18.0
DEU,Germany,2020-12-31,32.0
DEU,Germany,2021-01-18,26.0
DEU,Germany,2021-01-28,48.0
DEU,Germany,2021-02-11,60.0
DEU,Germany,2021-02-26,43.0
DEU,Germany,2021-03-11,43.0
DEU,Germany,2021-03-25,18.0
DEU,Germany,2021-04-08,27.0
DEU,Germany,2021-04-23,34.0
DEU,Germany,2021-05-06,72.0
DEU,Germany,2021-05-20,77.0
DEU,Germany,2021-06-04,79.0
DEU,Germany,2021-06-17,84.0
DEU,Germany,2021-07-01,60.0
DEU,Germany,2021-07-15,44.0
DEU,Germany,2021-07-27,30.0
DEU,Germany,2021-08-10,35.0
DEU,Germany,2021-08-24,34.0
DEU,Germany,2021-09-07,40.0
DEU,Germany,2021-09-21,61.0
DNK,Denmark,2020-05-11,81.0
DNK,Denmark,2020-05-15,85.0
DNK,Denmark,2020-05-22,85.0
DNK,Denmark,2020-05-29,88.0
DNK,Denmark,2020-06-04,88.0
DNK,Denmark,2020-06-11,87.0
DNK,Denmark,2020-06-18,79.0
DNK,Denmark,2020-06-25,66.0
DNK,Denmark,2020-07-23,68.0
DNK,Denmark,2020-08-16,17.0
DNK,Denmark,2020-08-23,29.0
DNK,Denmark,2020-09-23,13.0
DNK,Denmark,2020-10-12,34.0
DNK,Denmark,2020-11-05,10.0
DNK,Denmark,2020-11-18,22.0
DNK,Denmark,2021-01-13,30.0
DNK,Denmark,2021-02-14,61.0
DNK,Denmark,2021-02-28,56.0
DNK,Denmark,2021-03-12,67.0
DNK,Denmark,2021-03-29,67.0
DNK,Denmark,2021-04-12,76.0
DNK,Denmark,2021-05-10,69.0
DNK,Denmark,2021-06-07,77.0
DNK,Denmark,2021-07-05,72.0
DNK,Denmark,2021-08-13,66.0
DNK,Denmark,2021-08-28,64.0
DNK,Denmark,2021-09-12,78.0
ESP,Spain,2020-05-07,81.0
ESP,Spain,2020-05-14,77.0
ESP,Spain,2020-05-21,87.0
ESP,Spain,2020-05-28,88.0
ESP,Spain,2020-06-04,90.0
ESP,Spain,2020-06-11,89.0
ESP,Spain,2020-06-18,83.0
ESP,Spain,2020-06-25,59.0
ESP,Spain,2020-07-27,13.0
ESP,Spain,2020-08-03,13.0
ESP,Spain,2020-08-10,11.0
ESP,Spain,2020-08-17,11.0
ESP,Spain,2020-08-24,11.0
ESP,Spain,2020-09-23,9.0
ESP,Spain,2020-09-30,12.0
ESP,Spain,2020-10-16,10.0
ESP,Spain,2020-11-04,6.0
ESP,Spain,2020-11-16,18.0
ESP,Spain,2020-11-23,27.0
ESP,Spain,2020-12-02,45.0
ESP,Spain,2020-12-11,48.0
ESP,Spain,2020-12-18,19.0
ESP,Spain,2020-12-23,17.0
ESP,Spain,2021-01-07,10.0
ESP,Spain,2021-01-13,9.0
ESP,Spain,2021-01-20,10.0
ESP,Spain,2021-01-29,8.0
ESP,Spain,2021-02-05,22.0
ESP,Spain,2021-02-17,50.0
ESP,Spain,2021-03-03,66.0
ESP,Spain,2021-03-10,66.0
ESP,Spain,2021-03-18,58.0
ESP,Spain,2021-03-24,36.0
ESP,Spain,2021-04-01,28.0
ESP,Spain,2021-04-14,39.0
ESP,Spain,2021-04-21,51.0
ESP,Spain,2021-05-01,65.0
ESP,Spain,2021-05-07,73.0
ESP,Spain,2021-05-14,70.0
ESP,Spain,2021-05-21,83.0
ESP,Spain,2021-05-30,84.0
ESP,Spain,2021-06-06,82.0
ESP,Spain,2021-06-11,84.0
ESP,Spain,2021-06-16,86.0
ESP,Spain,2021-06-23,84.0
ESP,Spain,2021-07-02,55.0
ESP,Spain,2021-07-08,27.0
ESP,Spain,2021-07-16,21.0
ESP,Spain,2021-07-22,23.0
ESP,Spain,2021-07-27,23.0
ESP,Spain,2021-08-03,31.0
ESP,Spain,2021-08-10,49.0
ESP,Spain,2021-08-19,60.0
ESP,Spain,2021-08-26,58.0
ESP,Spain,2021-09-02,70.0
ESP,Spain,2021-09-07,72.0
ESP,Spain,2021-09-14,81.0
ESP,Spain,2021-09-23,82.0
FIN,Finland,2020-05-11,46.0
FIN,Finland,2020-05-15,47.0
FIN,Finland,2020-05-22,65.0
FIN,Finland,2020-05-29,77.0
FIN,Finland,2020-06-04,68.0
FIN,Finland,2020-06-11,80.0
FIN,Finland,2020-06-18,85.0
FIN,Finland,2020-06-25,80.0
FIN,Finland,2020-11-03,23.0
FIN,Finland,2020-11-12,23.0
FIN,Finland,2021-01-18,33.0
FIN,Finland,2021-01-31,19.0
FIN,Finland,2021-02-14,20.0
FIN,Finland,2021-02-26,10.0
FIN,Finland,2021-03-15,12.0
FIN,Finland,2021-03-21,14.0
FIN,Finland,2021-04-11,65.0
FIN,Finland,2021-05-05,82.0
FIN,Finland,2021-06-03,82.0
FIN,Finland,2021-06-18,87.0
FIN,Finland,2021-07-02,40.0
FIN,Finland,2021-08-28,46.0
FIN,Finland,2021-09-06,53.0
FRA,France,2020-05-08,68.0
FRA,France,2020-05-15,58.0
FRA,France,2020-05-22,64.0
FRA,France,2020-05-29,82.0
FRA,France,2020-06-05,83.0
FRA,France,2020-06-12,85.0
FRA,France,2020-06-19,75.0
FRA,France,2020-06-26,57.0
FRA,France,2020-07-08,54.0
FRA,France,2020-07-15,29.0
FRA,France,2020-07-22,22.0
FRA,France,2020-07-29,16.0
FRA,France,2020-08-05,18.0
FRA,France,2020-08-12,19.0
FRA,France,2020-08-19,15.0
FRA,France,2020-08-26,20.0
FRA,France,2020-09-02,27.0
FRA,France,2020-09-09,21.0
FRA,France,2020-10-15,9.0
FRA,France,2020-10-22,7.0
FRA,France,2020-11-18,31.0
FRA,France,2020-11-25,41.0
FRA,France,2020-12-02,51.0
FRA,France,2020-12-09,23.0
FRA,France,2020-12-16,26.0
FRA,France,2021-01-06,18.0
FRA,France,2021-01-20,19.0
FRA,France,2021-01-27,11.0
FRA,France,2021-02-03,15.0
FRA,France,2021-02-16,23.0
FRA,France,2021-02-23,24.0
FRA,France,2021-03-10,32.0
FRA,France,2021-03-17,15.0
FRA,France,2021-03-24,18.0
FRA,France,2021-03-31,9.0
FRA,France,2021-04-08,22.0
FRA,France,2021-04-14,26.0
FRA,France,2021-04-21,28.0
FRA,France,2021-04-28,30.0
FRA,France,2021-05-19,61.0
FRA,France,2021-06-03,67.0
FRA,France,2021-06-09,72.0
FRA,France,2021-06-16,73.0
FRA,France,2021-06-23,74.0
FRA,France,2021-06-29,74.0
FRA,France,2021-07-07,34.0
FRA,France,2021-07-14,29.0
FRA,France,2021-07-21,20.0
FRA,France,2021-07-28,24.0
FRA,France,2021-08-25,31.0
FRA,France,2021-09-01,52.0
FRA,France,2021-09-08,59.0
FRA,France,2021-09-15,61.0
FRA,France,2021-09-22,71.0
GBR,United Kingdom,2020-05-08,64.0
GBR,United Kingdom,2020-05-15,58.0
GBR,United Kingdom,2020-05-22,70.0
GBR,United Kingdom,2020-05-29,77.0
GBR,United Kingdom,2020-06-05,65.0
GBR,United Kingdom,2020-06-12,72.0
GBR,United Kingdom,2020-06-19,76.0
GBR,United Kingdom,2020-06-26,76.0
GBR,United Kingdom,2020-07-31,45.0
GBR,United Kingdom,2020-08-07,39.0
GBR,United Kingdom,2020-08-12,41.0
GBR,United Kingdom,2020-08-25,48.0
GBR,United Kingdom,2020-09-08,27.0
GBR,United Kingdom,2020-09-16,15.0
GBR,United Kingdom,2020-09-29,13.0
GBR,United Kingdom,2020-10-07,13.0
GBR,United Kingdom,2020-10-22,8.0
GBR,United Kingdom,2020-11-18,20.0
GBR,United Kingdom,2020-11-26,31.0
GBR,United Kingdom,2020-12-04,46.0
GBR,United Kingdom,2020-12-15,17.0
GBR,United Kingdom,2021-01-05,4.0
GBR,United Kingdom,2021-01-19,27.0
GBR,United Kingdom,2021-02-01,34.0
GBR,United Kingdom,2021-02-11,61.0
GBR,United Kingdom,2021-02-22,75.0
GBR,United Kingdom,2021-03-09,85.0
GBR,United Kingdom,2021-03-21,77.0
GBR,United Kingdom,2021-04-09,86.0
GBR,United Kingdom,2021-04-20,82.0
GBR,United Kingdom,2021-05-07,87.0
GBR,United Kingdom,2021-05-20,73.0
GBR,United Kingdom,2021-06-02,61.0
GBR,United Kingdom,2021-06-25,42.0
GBR,United Kingdom,2021-07-16,26.0
GBR,United Kingdom,2021-07-22,22.0
GBR,United Kingdom,2021-07-30,60.0
GBR,United Kingdom,2021-08-18,55.0
GBR,United Kingdom,2021-08-29,37.0
GBR,United Kingdom,2021-09-10,35.0
GBR,United Kingdom,2021-09-24,44.0
HKG,Hong Kong SAR China,2020-05-12,77.0
HKG,Hong Kong SAR China,2020-05-19,77.0
HKG,Hong Kong SAR China,2020-05-26,81.0
HKG,Hong Kong SAR China,2020-06-02,79.0
HKG,Hong Kong SAR China,2020-06-09,72.0
HKG,Hong Kong SAR China,2020-06-16,72.0
HKG,Hong Kong SAR China,2020-06-23,72.0
HKG,Hong Kong SAR China,2020-06-30,73.0
HKG,Hong Kong SAR China,2020-07-13,21.0
HKG,Hong Kong SAR China,2020-07-21,15.0
HKG,Hong Kong SAR China,2020-07-27,9.0
HKG,Hong Kong SAR China,2020-08-03,12.0
HKG,Hong Kong SAR China,2020-08-10,19.0
HKG,Hong Kong SAR China,2020-08-17,30.0
HKG,Hong Kong SAR China,2020-09-28,58.0
HKG,Hong Kong SAR China,2020-10-12,39.0
HKG,Hong Kong SAR China,2020-10-27,50.0
HKG,Hong Kong SAR China,2020-11-09,57.0
HKG,Hong Kong SAR China,2020-11-24,28.0
HKG,Hong Kong SAR China,2020-12-07,17.0
HKG,Hong Kong SAR China,2020-12-21,20.0
HKG,Hong Kong SAR China,2021-01-05,27.0
HKG,Hong Kong SAR China,2021-01-18,29.0
HKG,Hong Kong SAR China,2021-02-01,26.0
HKG,Hong Kong SAR China,2021-02-16,47.0
HKG,Hong Kong SAR China,2021-03-02,47.0
HKG,Hong Kong SAR China,2021-03-15,37.0
HKG,Hong Kong SAR China,2021-03-29,56.0
HKG,Hong Kong SAR China,2021-04-12,58.0
HKG,Hong Kong SAR China,2021-04-27,50.0
HKG,Hong Kong SAR China,2021-05-10,47.0
HKG,Hong Kong SAR China,2021-05-25,59.0
HKG,Hong Kong SAR China,2021-06-07,60.0
HKG,Hong Kong SAR China,2021-06-21,63.0
HKG,Hong Kong SAR China,2021-07-05,61.0
HKG,Hong Kong SAR China,2021-07-20,65.0
HKG,Hong Kong SAR China,2021-07-29,68.0
HKG,Hong Kong SAR China,2021-08-12,61.0
HKG,Hong Kong SAR China,2021-08-26,62.0
HKG,Hong Kong SAR China,2021-09-14,62.0
IDN,Indonesia,2020-05-11,42.0
IDN,Indonesia,2020-05-18,36.0
IDN,Indonesia,2020-05-25,20.0
IDN,Indonesia,2020-06-01,32.0
IDN,Indonesia,2020-06-08,40.0
IDN,Indonesia,2020-06-15,32.0
IDN,Indonesia,2020-06-22,36.0
IDN,Indonesia,2020-06-29,36.0
IDN,Indonesia,2020-07-13,30.0
IDN,Indonesia,2020-07-21,28.0
IDN,Indonesia,2020-07-27,31.0
IDN,Indonesia,2020-08-03,31.0
IDN,Indonesia,2020-08-10,30.0
IDN,Indonesia,2020-08-17,35.0
IDN,Indonesia,2020-08-24,35.0
IDN,Indonesia,2020-09-28,20.0
IDN,Indonesia,2020-10-12,26.0
IDN,Indonesia,2020-10-26,41.0
IDN,Indonesia,2020-11-09,50.0
IDN,Indonesia,2020-11-23,48.0
IDN,Indonesia,2020-12-07,33.0
IDN,Indonesia,2020-12-21,32.0
IDN,Indonesia,2021-01-04,32.0
IDN,Indonesia,2021-01-18,27.0
IDN,Indonesia,2021-02-01,26.0
IDN,Indonesia,2021-02-15,35.0
IDN,Indonesia,2021-03-01,48.0
IDN,Indonesia,2021-03-15,56.0
IDN,Indonesia,2021-03-29,64.0
IDN,Indonesia,2021-04-12,68.0
IDN,Indonesia,2021-04-26,64.0
IDN,Indonesia,2021-05-10,53.0
IDN,Indonesia,2021-05-24,53.0
IDN,Indonesia,2021-06-07,54.0
IDN,Indonesia,2021-06-21,34.0
IDN,Indonesia,2021-07-05,15.0
IDN,Indonesia,2021-07-19,15.0
IDN,Indonesia,2021-07-29,31.0
IDN,Indonesia,2021-08-12,46.0
IDN,Indonesia,2021-08-26,66.0
IDN,Indonesia,2021-09-13,76.0
IND,India,2020-05-11,41.0
IND,India,2020-05-18,39.0
IND,India,2020-05-25,32.0
IND,India,2020-06-01,32.0
IND,India,2020-06-08,33.0
IND,India,2020-06-15,21.0
IND,India,2020-06-22,23.0
IND,India,2020-06-29,26.0
IND,India,2020-07-27,27.0
IND,India,2020-08-03,34.0
IND,India,2020-08-10,38.0
IND,India,2020-08-17,37.0
IND,India,2020-08-24,45.0
IND,India,2020-09-24,37.0
IND,India,2020-10-02,42.0
IND,India,2020-10-11,46.0
IND,India,2020-10-19,53.0
IND,India,2020-10-23,61.0
IND,India,2020-10-31,68.0
IND,India,2020-11-06,70.0
IND,India,2020-11-13,66.0
IND,India,2020-11-20,65.0
IND,India,2020-11-29,56.0
IND,India,2020-12-05,61.0
IND,India,2020-12-14,69.0
IND,India,2020-12-18,73.0
IND,India,2020-12-27,73.0
IND,India,2021-01-03,70.0
IND,India,2021-01-08,76.0
IND,India,2021-01-15,79.0
IND,India,2021-01-23,83.0
IND,India,2021-01-30,84.0
IND,India,2021-02-08,85.0
IND,India,2021-02-15,84.0
IND,India,2021-02-25,72.0
IND,India,2021-03-07,75.0
IND,India,2021-03-22,56.0
IND,India,2021-03-30,48.0
IND,India,2021-04-04,41.0
IND,India,2021-04-11,30.0
IND,India,2021-04-18,28.0
IND,India,2021-04-25,17.0
IND,India,2021-05-03,21.0
IND,India,2021-05-10,18.0
IND,India,2021-05-16,28.0
IND,India,2021-05-21,41.0
IND,India,2021-05-30,49.0
IND,India,2021-06-06,63.0
IND,India,2021-06-13,74.0
IND,India,2021-06-20,73.0
IND,India,2021-06-27,75.0
IND,India,2021-07-04,73.0
IND,India,2021-07-08,74.0
IND,India,2021-07-17,73.0
ITA,Italy,2020-05-08,84.0
ITA,Italy,2020-05-15,85.0
ITA,Italy,2020-05-22,83.0
ITA,Italy,2020-05-29,87.0
ITA,Italy,2020-06-03,92.0
ITA,Italy,2020-06-10,90.0
ITA,Italy,2020-06-17,88.0
ITA,Italy,2020-06-24,88.0
ITA,Italy,2020-07-22,69.0
ITA,Italy,2020-07-29,39.0
ITA,Italy,2020-08-05,56.0
ITA,Italy,2020-08-12,48.0
ITA,Italy,2020-08-19,24.0
ITA,Italy,2020-09-22,30.0
ITA,Italy,2020-09-29,26.0
ITA,Italy,2020-10-06,16.0
ITA,Italy,2020-10-13,14.0
ITA,Italy,2020-10-20,12.0
ITA,Italy,2020-10-27,9.0
ITA,Italy,2020-11-03,8.0
ITA,Italy,2020-11-10,10.0
ITA,Italy,2020-11-17,27.0
ITA,Italy,2020-11-24,46.0
ITA,Italy,2020-12-01,42.0
ITA,Italy,2020-12-09,50.0
ITA,Italy,2020-12-14,33.0
ITA,Italy,2020-12-22,35.0
ITA,Italy,2021-01-05,30.0
ITA,Italy,2021-01-12,26.0
ITA,Italy,2021-01-19,42.0
ITA,Italy,2021-01-26,49.0
ITA,Italy,2021-02-02,58.0
ITA,Italy,2021-02-09,55.0
ITA,Italy,2021-02-16,34.0
ITA,Italy,2021-02-25,55.0
ITA,Italy,2021-03-02,22.0
ITA,Italy,2021-03-09,18.0
ITA,Italy,2021-03-16,17.0
ITA,Italy,2021-03-23,32.0
ITA,Italy,2021-03-30,38.0
ITA,Italy,2021-04-06,41.0
ITA,Italy,2021-04-13,49.0
ITA,Italy,2021-04-20,57.0
ITA,Italy,2021-04-27,61.0
ITA,Italy,2021-05-04,65.0
ITA,Italy,2021-05-18,86.0
ITA,Italy,2021-05-25,86.0
ITA,Italy,2021-06-01,89.0
ITA,Italy,2021-06-08,89.0
ITA,Italy,2021-06-15,85.0
ITA,Italy,2021-06-29,77.0
ITA,Italy,2021-07-06,74.0
ITA,Italy,2021-07-13,48.0
ITA,Italy,2021-07-20,37.0
ITA,Italy,2021-07-27,45.0
ITA,Italy,2021-08-03,36.0
ITA,Italy,2021-08-10,45.0
ITA,Italy,2021-08-17,49.0
ITA,Italy,2021-08-24,48.0
ITA,Italy,2021-08-31,48.0
ITA,Italy,2021-09-07,64.0
ITA,Italy,2021-09-14,65.0
ITA,Italy,2021-09-21,75.0
MEX,Mexico,2020-05-12,31.0
MEX,Mexico,2020-05-19,33.0
MEX,Mexico,2020-05-26,26.0
MEX,Mexico,2020-06-02,26.0
MEX,Mexico,2020-06-09,24.0
MEX,Mexico,2020-06-16,23.0
MEX,Mexico,2020-06-23,21.0
MEX,Mexico,2020-06-30,26.0
MYS,Malaysia,2020-05-11,87.0
MYS,Malaysia,2020-05-18,84.0
MYS,Malaysia,2020-05-25,85.0
MYS,Malaysia,2020-06-01,84.0
MYS,Malaysia,2020-06-08,92.0
MYS,Malaysia,2020-06-16,96.0
MYS,Malaysia,2020-06-22,96.0
MYS,Malaysia,2020-06-29,97.0
MYS,Malaysia,2020-07-13,96.0
MYS,Malaysia,2020-07-21,90.0
MYS,Malaysia,2020-07-27,59.0
MYS,Malaysia,2020-08-03,68.0
MYS,Malaysia,2020-08-10,61.0
MYS,Malaysia,2020-08-17,76.0
MYS,Malaysia,2020-08-24,71.0
MYS,Malaysia,2020-09-28,53.0
MYS,Malaysia,2020-10-12,22.0
MYS,Malaysia,2020-10-26,17.0
MYS,Malaysia,2020-11-09,22.0
MYS,Malaysia,2020-11-23,48.0
MYS,Malaysia,2020-12-07,37.0
MYS,Malaysia,2020-12-21,31.0
MYS,Malaysia,2021-01-04,21.0
MYS,Malaysia,2021-01-18,8.0
MYS,Malaysia,2021-02-01,9.0
MYS,Malaysia,2021-02-15,28.0
MYS,Malaysia,2021-03-01,58.0
MYS,Malaysia,2021-03-15,76.0
MYS,Malaysia,2021-03-29,72.0
MYS,Malaysia,2021-04-12,56.0
MYS,Malaysia,2021-04-26,21.0
MYS,Malaysia,2021-05-10,12.0
MYS,Malaysia,2021-05-24,7.0
MYS,Malaysia,2021-06-07,13.0
MYS,Malaysia,2021-06-21,26.0
MYS,Malaysia,2021-07-05,12.0
MYS,Malaysia,2021-07-19,8.0
MYS,Malaysia,2021-07-29,8.0
MYS,Malaysia,2021-08-12,9.0
MYS,Malaysia,2021-08-26,24.0
MYS,Malaysia,2021-09-13,43.0
NOR,Norway,2020-05-11,60.0
NOR,Norway,2020-05-15,58.0
NOR,Norway,2020-05-22,62.0
NOR,Norway,2020-05-29,67.0
NOR,Norway,2020-06-05,65.0
NOR,Norway,2020-06-12,65.0
NOR,Norway,2020-06-19,61.0
NOR,Norway,2020-06-26,51.0
NOR,Norway,2020-08-03,30.0
NOR,Norway,2020-08-17,15.0
NOR,Norway,2020-09-27,31.0
NOR,Norway,2020-10-11,31.0
NOR,Norway,2020-11-09,17.0
NOR,Norway,2020-11-22,34.0
NOR,Norway,2021-01-17,46.0
NOR,Norway,2021-02-01,40.0
NOR,Norway,2021-02-14,48.0
NOR,Norway,2021-02-28,50.0
NOR,Norway,2021-03-14,43.0
NOR,Norway,2021-03-29,40.0
NOR,Norway,2021-04-12,51.0
NOR,Norway,2021-05-10,72.0
NOR,Norway,2021-06-21,78.0
NOR,Norway,2021-07-05,70.0
NOR,Norway,2021-07-18,67.0
NOR,Norway,2021-08-16,57.0
NOR,Norway,2021-08-30,44.0
NOR,Norway,2021-09-13,61.0
PHL,Philippines,2020-05-11,40.0
PHL,Philippines,2020-05-18,48.0
PHL,Philippines,2020-05-25,32.0
PHL,Philippines,2020-06-01,33.0
PHL,Philippines,2020-06-08,32.0
PHL,Philippines,2020-06-15,30.0
PHL,Philippines,2020-06-22,27.0
PHL,Philippines,2020-06-29,23.0
PHL,Philippines,2020-07-13,18.0
PHL,Philippines,2020-07-21,22.0
PHL,Philippines,2020-07-27,16.0
PHL,Philippines,2020-08-03,26.0
PHL,Philippines,2020-08-10,13.0
PHL,Philippines,2020-08-17,23.0
PHL,Philippines,2020-08-24,19.0
PHL,Philippines,2020-09-28,45.0
PHL,Philippines,2020-10-12,51.0
PHL,Philippines,2020-11-09,60.0
PHL,Philippines,2020-11-23,62.0
PHL,Philippines,2020-12-07,64.0
PHL,Philippines,2020-12-21,58.0
PHL,Philippines,2021-01-04,50.0
PHL,Philippines,2021-01-18,43.0
PHL,Philippines,2021-02-01,47.0
PHL,Philippines,2021-02-15,56.0
PHL,Philippines,2021-03-01,56.0
PHL,Philippines,2021-03-15,48.0
PHL,Philippines,2021-03-29,28.0
PHL,Philippines,2021-04-12,26.0
PHL,Philippines,2021-04-26,35.0
PHL,Philippines,2021-05-10,42.0
PHL,Philippines,2021-05-24,48.0
PHL,Philippines,2021-06-07,47.0
PHL,Philippines,2021-06-21,52.0
PHL,Philippines,2021-07-06,58.0
PHL,Philippines,2021-07-19,58.0
PHL,Philippines,2021-07-29,40.0
PHL,Philippines,2021-08-12,29.0
PHL,Philippines,2021-08-26,31.0
PHL,Philippines,2021-09-13,27.0
POL,Poland,2020-05-12,41.0
POL,Poland,2020-05-19,51.0
POL,Poland,2020-05-26,51.0
POL,Poland,2020-06-02,56.0
POL,Poland,2020-06-09,45.0
POL,Poland,2020-06-16,37.0
POL,Poland,2020-06-23,34.0
POL,Poland,2020-06-30,40.0
SAU,Saudi Arabia,2020-05-11,60.0
SAU,Saudi Arabia,2020-05-18,59.0
SAU,Saudi Arabia,2020-05-25,68.0
SAU,Saudi Arabia,2020-06-01,79.0
SAU,Saudi Arabia,2020-06-08,65.0
SAU,Saudi Arabia,2020-06-15,41.0
SAU,Saudi Arabia,2020-06-22,49.0
SAU,Saudi Arabia,2020-06-29,69.0
SAU,Saudi Arabia,2020-07-27,81.0
SAU,Saudi Arabia,2020-08-10,85.0
SAU,Saudi Arabia,2020-08-17,87.0
SAU,Saudi Arabia,2020-09-30,81.0
SAU,Saudi Arabia,2020-10-07,88.0
SAU,Saudi Arabia,2020-10-14,86.0
SAU,Saudi Arabia,2020-11-02,81.0
SAU,Saudi Arabia,2020-11-09,77.0
SAU,Saudi Arabia,2020-11-17,82.0
SAU,Saudi Arabia,2020-11-30,87.0
SAU,Saudi Arabia,2020-12-16,80.0
SAU,Saudi Arabia,2020-12-23,89.0
SAU,Saudi Arabia,2021-01-10,91.0
SAU,Saudi Arabia,2021-02-01,82.0
SAU,Saudi Arabia,2021-02-08,52.0
SAU,Saudi Arabia,2021-02-21,73.0
SAU,Saudi Arabia,2021-03-07,82.0
SAU,Saudi Arabia,2021-03-16,88.0
SAU,Saudi Arabia,2021-05-10,80.0
SAU,Saudi Arabia,2021-05-24,82.0
SAU,Saudi Arabia,2021-05-31,78.0
SAU,Saudi Arabia,2021-06-16,83.0
SAU,Saudi Arabia,2021-07-13,84.0
SAU,Saudi Arabia,2021-08-02,82.0
SAU,Saudi Arabia,2021-08-10,85.0
SAU,Saudi Arabia,2021-08-22,88.0
SAU,Saudi Arabia,2021-09-27,90.0
SGP,Singapore,2020-05-08,58.0
SGP,Singapore,2020-05-15,69.0
SGP,Singapore,2020-05-22,80.0
SGP,Singapore,2020-05-29,76.0
SGP,Singapore,2020-06-05,78.0
SGP,Singapore,2020-06-12,77.0
SGP,Singapore,2020-06-19,82.0
SGP,Singapore,2020-06-26,81.0
SGP,Singapore,2020-07-10,49.0
SGP,Singapore,2020-07-20,50.0
SGP,Singapore,2020-07-27,57.0
SGP,Singapore,2020-08-03,62.0
SGP,Singapore,2020-08-10,66.0
SGP,Singapore,2020-08-17,76.0
SGP,Singapore,2020-08-24,80.0
SGP,Singapore,2020-09-25,83.0
SGP,Singapore,2020-10-09,84.0
SGP,Singapore,2020-11-09,89.0
SGP,Singapore,2020-11-20,90.0
SGP,Singapore,2020-12-04,83.0
SGP,Singapore,2020-12-18,90.0
SGP,Singapore,2021-01-04,78.0
