iso_code,country,date,yougov_support_free_masks
THA,Thailand,2020-08-31,58
THA,Thailand,2020-09-14,57
THA,Thailand,2020-09-28,60
THA,Thailand,2020-10-12,55
THA,Thailand,2020-10-26,57
THA,Thailand,2020-11-09,54
THA,Thailand,2020-11-23,58
THA,Thailand,2020-12-07,59
THA,Thailand,2020-12-21,59
THA,Thailand,2021-01-04,60
THA,Thailand,2021-01-18,60
TWN,Taiwan,2020-02-25,5
TWN,Taiwan,2020-03-03,29
TWN,Taiwan,2020-03-10,25
TWN,Taiwan,2020-03-17,24
TWN,Taiwan,2020-03-24,27
TWN,Taiwan,2020-03-31,27
TWN,Taiwan,2020-04-07,27
TWN,Taiwan,2020-04-14,26
TWN,Taiwan,2020-04-21,25
TWN,Taiwan,2020-04-28,27
TWN,Taiwan,2020-05-05,26
TWN,Taiwan,2020-05-25,26
TWN,Taiwan,2020-06-08,22
TWN,Taiwan,2020-06-22,22
TWN,Taiwan,2020-07-06,26
TWN,Taiwan,2020-08-03,24
TWN,Taiwan,2020-08-17,25
TWN,Taiwan,2020-08-31,23
TWN,Taiwan,2020-09-14,25
TWN,Taiwan,2020-09-28,25
TWN,Taiwan,2020-10-12,26
TWN,Taiwan,2020-10-27,24
TWN,Taiwan,2020-11-09,25
TWN,Taiwan,2020-11-24,28
TWN,Taiwan,2020-12-07,24
TWN,Taiwan,2020-12-21,23
TWN,Taiwan,2021-01-04,25
TWN,Taiwan,2021-01-18,25
USA,United States,2020-03-02,26
USA,United States,2020-03-17,28
USA,United States,2020-03-23,33
USA,United States,2020-03-30,34
USA,United States,2020-04-06,47
USA,United States,2020-04-13,47
USA,United States,2020-04-20,49
USA,United States,2020-04-27,48
USA,United States,2020-05-06,48
USA,United States,2020-05-26,44
USA,United States,2020-06-01,45
USA,United States,2020-06-08,42
USA,United States,2020-06-15,41
USA,United States,2020-06-22,45
USA,United States,2020-07-06,46
USA,United States,2020-07-14,46
USA,United States,2020-07-20,47
USA,United States,2020-07-27,47
USA,United States,2020-08-03,41
USA,United States,2020-08-10,50
USA,United States,2020-08-17,45
USA,United States,2020-08-25,43
USA,United States,2020-09-01,45
USA,United States,2020-09-08,40
USA,United States,2020-09-14,45
USA,United States,2020-09-21,47
USA,United States,2020-09-28,47
USA,United States,2020-10-06,46
USA,United States,2020-10-12,46
USA,United States,2020-10-19,46
USA,United States,2020-10-26,49
USA,United States,2020-11-02,48
USA,United States,2020-11-09,46
USA,United States,2020-11-16,53
USA,United States,2020-11-25,47
USA,United States,2020-12-02,49
USA,United States,2020-12-14,46
USA,United States,2020-12-22,48
USA,United States,2021-01-11,42
VNM,Vietnam,2020-03-30,55
VNM,Vietnam,2020-04-06,58
VNM,Vietnam,2020-04-13,56
VNM,Vietnam,2020-04-20,58
VNM,Vietnam,2020-04-27,57
VNM,Vietnam,2020-05-04,56
VNM,Vietnam,2020-05-25,51
VNM,Vietnam,2020-06-08,51
VNM,Vietnam,2020-06-22,48
VNM,Vietnam,2020-07-06,49
VNM,Vietnam,2020-08-03,50
VNM,Vietnam,2020-08-17,55
VNM,Vietnam,2020-08-31,50
VNM,Vietnam,2020-09-14,47
VNM,Vietnam,2020-09-28,48
VNM,Vietnam,2020-10-12,48
VNM,Vietnam,2020-10-26,50
VNM,Vietnam,2020-11-09,48
VNM,Vietnam,2020-11-23,50
VNM,Vietnam,2020-12-07,53
VNM,Vietnam,2020-12-21,51
VNM,Vietnam,2021-01-04,51
VNM,Vietnam,2021-01-18,48
